,Date,Day,Territory,Menu Item,Price (SGD),Price (VND),Category,Menu
1,2024/11/24,Sun,Singapore,Breakfast Bagel Smoked Chicken Ham Meal,7.70,145328.68,What's New,Breakfast Menu
2,2024/11/24,Sun,Singapore,Breakfast Bagel Sausage Meal,7.70,145328.68,What's New,Breakfast Menu
3,2024/11/24,Sun,Singapore,Breakfast Bagel Meal,6.85,129285.90,What's New,Breakfast Menu
4,2024/11/24,Sun,Singapore,Breakfast Bagel (Saus/Ham) + Breakfast Deluxe™,16.30,307643.82,What's New,Breakfast Menu
5,2024/11/24,Sun,Singapore,Potato Pops,5.70,107580.97,What's New,Breakfast Menu
6,2024/11/24,Sun,Singapore,Breakfast Bagel Smoked Chicken Ham Meal,7.70,145328.68,Value Meals,Breakfast Menu
7,2024/11/24,Sun,Singapore,Breakfast Bagel Sausage Meal,7.70,145328.68,Value Meals,Breakfast Menu
8,2024/11/24,Sun,Singapore,Breakfast Bagel Meal,6.85,129285.90,Value Meals,Breakfast Menu
9,2024/11/24,Sun,Singapore,Chicken Bacon and Egg McMuffin® Meal,6.30,118905.28,Value Meals,Breakfast Menu
10,2024/11/24,Sun,Singapore,Sausage McMuffin® Meal,6.00,113243.12,Value Meals,Breakfast Menu
11,2024/11/24,Sun,Singapore,Chicken Muffin Meal,6.00,113243.12,Value Meals,Breakfast Menu
12,2024/11/24,Sun,Singapore,Egg McMuffin® Meal,6.30,118905.28,Value Meals,Breakfast Menu
13,2024/11/24,Sun,Singapore,Sausage Egg McMuffin® Meal,7.10,134004.36,Value Meals,Breakfast Menu
14,2024/11/24,Sun,Singapore,Breakfast Wrap Sausage Meal,8.20,154765.60,Value Meals,Breakfast Menu
15,2024/11/24,Sun,Singapore,Breakfast Wrap Chicken Ham Meal,8.00,150990.83,Value Meals,Breakfast Menu
16,2024/11/24,Sun,Singapore,Scrambled Egg Burger with Sausage Meal,7.20,135891.75,Value Meals,Breakfast Menu
17,2024/11/24,Sun,Singapore,Scrambled Egg Burger with Chicken Meal,7.20,135891.75,Value Meals,Breakfast Menu
18,2024/11/24,Sun,Singapore,Double Sausage McMuffin® Meal,7.40,139666.52,Value Meals,Breakfast Menu
19,2024/11/24,Sun,Singapore,Double Sausage Egg McMuffin® Meal,8.50,160427.76,Value Meals,Breakfast Menu
20,2024/11/24,Sun,Singapore,Chicken Muffin with Egg Meal,7.00,132116.98,Value Meals,Breakfast Menu
21,2024/11/24,Sun,Singapore,Breakfast Deluxe™ Meal,9.60,181189.00,Value Meals,Breakfast Menu
22,2024/11/24,Sun,Singapore,Big Breakfast® Meal,8.05,151934.52,Value Meals,Breakfast Menu
23,2024/11/24,Sun,Singapore,Hotcakes™ Meal,8.30,156652.99,Value Meals,Breakfast Menu
24,2024/11/24,Sun,Singapore,Hotcakes™ with Sausage Meal,8.95,168920.99,Value Meals,Breakfast Menu
25,2024/11/24,Sun,Singapore,Filet-O-Fish® Meal,7.60,143441.29,Value Meals,Breakfast Menu
26,2024/11/24,Sun,Singapore,Double Filet-O-Fish® Meal,10.00,188738.54,Value Meals,Breakfast Menu
27,2024/11/24,Sun,Singapore,Double Sausage Egg McMuffin® Meal,8.50,160427.76,Fan Favourites,Breakfast Menu
28,2024/11/24,Sun,Singapore,Double Sausage McMuffin® Meal,7.40,139666.52,Fan Favourites,Breakfast Menu
29,2024/11/24,Sun,Singapore,Breakfast Bagel (Saus/Ham) + Breakfast Deluxe™,16.30,307643.82,Happy Meal® and Family Meals,Breakfast Menu
30,2024/11/24,Sun,Singapore,Fam Meal: Breakfast Deluxe Meal + Sausage McMuffin® with Egg Meal + Hotcakes Happy Meal®,22.20,418999.56,Happy Meal® and Family Meals,Breakfast Menu
31,2024/11/24,Sun,Singapore,Scrambled Egg Burger Junior Happy Meal®,5.80,109468.35,Happy Meal® and Family Meals,Breakfast Menu
32,2024/11/24,Sun,Singapore,Breakfast Hotcakes (2pc) Happy Meal®,5.80,109468.35,Happy Meal® and Family Meals,Breakfast Menu
33,2024/11/24,Sun,Singapore,Breakfast Bagel Smoked Chicken Ham,5.80,109468.35,Ala Carte,Breakfast Menu
34,2024/11/24,Sun,Singapore,Breakfast Bagel Sausage,5.80,109468.35,Ala Carte,Breakfast Menu
35,2024/11/24,Sun,Singapore,Breakfast Bagel,4.85,91538.19,Ala Carte,Breakfast Menu
36,2024/11/24,Sun,Singapore,Chicken Bacon and Egg McMuffin®,5.20,98144.04,Ala Carte,Breakfast Menu
37,2024/11/24,Sun,Singapore,Sausage McMuffin®,4.30,81157.57,Ala Carte,Breakfast Menu
