,Date,Day,Territory,Menu Item,Price (SGD),Price (VND),Category,Menu
1,2024/11/19,Tue,Singapore,Breakfast Bagel Smoked Chicken Ham Meal,7.70,146126.98,What's New,Breakfast Menu
2,2024/11/19,Tue,Singapore,Breakfast Bagel Sausage Meal,7.70,146126.98,What's New,Breakfast Menu
3,2024/11/19,Tue,Singapore,Breakfast Bagel Meal,6.85,129996.08,What's New,Breakfast Menu
4,2024/11/19,Tue,Singapore,Breakfast Bagel (Saus/Ham) + Breakfast Deluxe™,16.30,309333.74,What's New,Breakfast Menu
5,2024/11/19,Tue,Singapore,Potato Pops,5.70,108171.92,What's New,Breakfast Menu
6,2024/11/19,Tue,Singapore,Breakfast Bagel Smoked Chicken Ham Meal,7.70,146126.98,Value Meals,Breakfast Menu
7,2024/11/19,Tue,Singapore,Breakfast Bagel Sausage Meal,7.70,146126.98,Value Meals,Breakfast Menu
8,2024/11/19,Tue,Singapore,Breakfast Bagel Meal,6.85,129996.08,Value Meals,Breakfast Menu
9,2024/11/19,Tue,Singapore,Chicken Bacon and Egg McMuffin® Meal,6.30,119558.44,Value Meals,Breakfast Menu
10,2024/11/19,Tue,Singapore,Sausage McMuffin® Meal,6.00,113865.18,Value Meals,Breakfast Menu
11,2024/11/19,Tue,Singapore,Chicken Muffin Meal,6.00,113865.18,Value Meals,Breakfast Menu
12,2024/11/19,Tue,Singapore,Egg McMuffin® Meal,6.30,119558.44,Value Meals,Breakfast Menu
13,2024/11/19,Tue,Singapore,Sausage Egg McMuffin® Meal,7.10,134740.46,Value Meals,Breakfast Menu
14,2024/11/19,Tue,Singapore,Breakfast Wrap Sausage Meal,8.20,155615.75,Value Meals,Breakfast Menu
15,2024/11/19,Tue,Singapore,Breakfast Wrap Chicken Ham Meal,8.00,151820.24,Value Meals,Breakfast Menu
16,2024/11/19,Tue,Singapore,Scrambled Egg Burger with Sausage Meal,7.20,136638.22,Value Meals,Breakfast Menu
17,2024/11/19,Tue,Singapore,Scrambled Egg Burger with Chicken Meal,7.20,136638.22,Value Meals,Breakfast Menu
18,2024/11/19,Tue,Singapore,Double Sausage McMuffin® Meal,7.40,140433.72,Value Meals,Breakfast Menu
19,2024/11/19,Tue,Singapore,Double Sausage Egg McMuffin® Meal,8.50,161309.01,Value Meals,Breakfast Menu
20,2024/11/19,Tue,Singapore,Chicken Muffin with Egg Meal,7.00,132842.71,Value Meals,Breakfast Menu
21,2024/11/19,Tue,Singapore,Breakfast Deluxe™ Meal,9.60,182184.29,Value Meals,Breakfast Menu
