,Date,Day,Territory,Menu Item,Price (SGD),Price (VND),Category,Menu
1,2024/10/31,Thu,Singapore,Breakfast Bagel Smoked Chicken Ham Meal,7.70,147004.43,What's New,Breakfast Menu
2,2024/10/31,Thu,Singapore,Breakfast Bagel Sausage Meal,7.70,147004.43,What's New,Breakfast Menu
3,2024/10/31,Thu,Singapore,Breakfast Bagel Meal,6.85,130776.67,What's New,Breakfast Menu
4,2024/10/31,Thu,Singapore,Breakfast Bagel (Saus/Ham) + Breakfast Deluxe™,16.30,311191.21,What's New,Breakfast Menu
5,2024/10/31,Thu,Singapore,Breakfast Bagel Smoked Chicken Ham Meal,7.70,147004.43,Value Meals,Breakfast Menu
6,2024/10/31,Thu,Singapore,Breakfast Bagel Sausage Meal,7.70,147004.43,Value Meals,Breakfast Menu
7,2024/10/31,Thu,Singapore,Breakfast Bagel Meal,6.85,130776.67,Value Meals,Breakfast Menu
8,2024/10/31,Thu,Singapore,Chicken Bacon and Egg McMuffin® Meal,6.30,120276.36,Value Meals,Breakfast Menu
9,2024/10/31,Thu,Singapore,Sausage McMuffin® Meal,6.00,114548.91,Value Meals,Breakfast Menu
10,2024/10/31,Thu,Singapore,Chicken Muffin Meal,6.00,114548.91,Value Meals,Breakfast Menu
11,2024/10/31,Thu,Singapore,Egg McMuffin® Meal,6.30,120276.36,Value Meals,Breakfast Menu
12,2024/10/31,Thu,Singapore,Sausage Egg McMuffin® Meal,7.10,135549.54,Value Meals,Breakfast Menu
13,2024/10/31,Thu,Singapore,Breakfast Wrap Sausage Meal,8.20,156550.18,Value Meals,Breakfast Menu
14,2024/10/31,Thu,Singapore,Breakfast Wrap Chicken Ham Meal,8.00,152731.88,Value Meals,Breakfast Menu
15,2024/10/31,Thu,Singapore,Scrambled Egg Burger with Sausage Meal,7.20,137458.69,Value Meals,Breakfast Menu
16,2024/10/31,Thu,Singapore,Scrambled Egg Burger with Chicken Meal,7.20,137458.69,Value Meals,Breakfast Menu
17,2024/10/31,Thu,Singapore,Double Sausage McMuffin® Meal,7.40,141276.99,Value Meals,Breakfast Menu
18,2024/10/31,Thu,Singapore,Double Sausage Egg McMuffin® Meal,8.50,162277.62,Value Meals,Breakfast Menu
19,2024/10/31,Thu,Singapore,Chicken Muffin with Egg Meal,7.00,133640.40,Value Meals,Breakfast Menu
20,2024/10/31,Thu,Singapore,Breakfast Deluxe™ Meal,9.60,183278.26,Value Meals,Breakfast Menu
21,2024/10/31,Thu,Singapore,Big Breakfast® Meal,8.05,153686.45,Value Meals,Breakfast Menu
22,2024/10/31,Thu,Singapore,Hotcakes™ Meal,8.30,158459.33,Value Meals,Breakfast Menu
23,2024/10/31,Thu,Singapore,Hotcakes™ with Sausage Meal,8.95,170868.79,Value Meals,Breakfast Menu
24,2024/10/31,Thu,Singapore,Filet-O-Fish® Meal,7.60,145095.29,Value Meals,Breakfast Menu
25,2024/10/31,Thu,Singapore,Double Filet-O-Fish® Meal,10.00,190914.85,Value Meals,Breakfast Menu
26,2024/10/31,Thu,Singapore,Double Sausage Egg McMuffin® Meal,8.50,162277.62,Fan Favourites,Breakfast Menu
