,Date,Day,Territory,Menu Item,Price (SGD),Price (VND),Category,Menu
1,2025/01/14,Tue,Singapore,Chicken Bacon and Egg McMuffin®,5.20,96171.57,What's New,Breakfast Menu
2,2025/01/14,Tue,Singapore,Chicken Bacon and Egg McMuffin® Meal,6.30,116515.55,What's New,Breakfast Menu
3,2025/01/14,Tue,Singapore,Sausage McMuffin®,4.30,79526.49,What's New,Breakfast Menu
4,2025/01/14,Tue,Singapore,Sausage McMuffin® Meal,6.00,110967.19,What's New,Breakfast Menu
5,2025/01/14,Tue,Singapore,Chicken Muffin,4.30,79526.49,What's New,Breakfast Menu
6,2025/01/14,Tue,Singapore,Chicken Muffin Meal,6.00,110967.19,What's New,Breakfast Menu
7,2025/01/14,Tue,Singapore,Egg McMuffin®,5.20,96171.57,What's New,Breakfast Menu
8,2025/01/14,Tue,Singapore,Egg McMuffin® Meal,6.30,116515.55,What's New,Breakfast Menu
9,2025/01/14,Tue,Singapore,2xVM: Chic Bacon Egg McMuffin EVM + SEB EVM,12.35,228407.47,What's New,Breakfast Menu
10,2025/01/14,Tue,Singapore,Chicken Bacon and Egg McMuffin®,5.20,96171.57,Burgers & Muffins,Breakfast Menu
11,2025/01/14,Tue,Singapore,Chicken Bacon and Egg McMuffin® Meal,6.30,116515.55,Burgers & Muffins,Breakfast Menu
12,2025/01/14,Tue,Singapore,Double Sausage Egg McMuffin®,6.70,123913.36,Burgers & Muffins,Breakfast Menu
13,2025/01/14,Tue,Singapore,Double Sausage Egg McMuffin® Meal,8.50,157203.52,Burgers & Muffins,Breakfast Menu
14,2025/01/14,Tue,Singapore,Sausage Egg McMuffin®,5.30,98021.02,Burgers & Muffins,Breakfast Menu
15,2025/01/14,Tue,Singapore,Sausage Egg McMuffin® Meal,7.10,131311.18,Burgers & Muffins,Breakfast Menu
16,2025/01/14,Tue,Singapore,Double Sausage McMuffin®,5.70,105418.83,Burgers & Muffins,Breakfast Menu
17,2025/01/14,Tue,Singapore,Double Sausage McMuffin® Meal,7.40,136859.54,Burgers & Muffins,Breakfast Menu
18,2025/01/14,Tue,Singapore,Scrambled Egg Burger with Sausage,5.50,101719.93,Burgers & Muffins,Breakfast Menu
19,2025/01/14,Tue,Singapore,Scrambled Egg Burger with Sausage Meal,7.20,133160.63,Burgers & Muffins,Breakfast Menu
20,2025/01/14,Tue,Singapore,Scrambled Egg Burger with Chicken,5.50,101719.93,Burgers & Muffins,Breakfast Menu
21,2025/01/14,Tue,Singapore,Scrambled Egg Burger with Chicken Meal,7.20,133160.63,Burgers & Muffins,Breakfast Menu
22,2025/01/14,Tue,Singapore,Double Filet-O-Fish®,8.15,150730.44,Burgers & Muffins,Breakfast Menu
23,2025/01/14,Tue,Singapore,Double Filet-O-Fish® Meal,10.00,184945.32,Burgers & Muffins,Breakfast Menu
24,2025/01/14,Tue,Singapore,Filet-O-Fish®,6.25,115590.82,Burgers & Muffins,Breakfast Menu
25,2025/01/14,Tue,Singapore,Filet-O-Fish® Meal,7.60,140558.44,Burgers & Muffins,Breakfast Menu
26,2025/01/14,Tue,Singapore,Chicken Muffin with Egg,5.20,96171.57,Burgers & Muffins,Breakfast Menu
27,2025/01/14,Tue,Singapore,Chicken Muffin with Egg Meal,7.00,129461.72,Burgers & Muffins,Breakfast Menu
28,2025/01/14,Tue,Singapore,Sausage McMuffin®,4.30,79526.49,Burgers & Muffins,Breakfast Menu
29,2025/01/14,Tue,Singapore,Sausage McMuffin® Meal,6.00,110967.19,Burgers & Muffins,Breakfast Menu
30,2025/01/14,Tue,Singapore,Chicken Muffin,4.30,79526.49,Burgers & Muffins,Breakfast Menu
31,2025/01/14,Tue,Singapore,Chicken Muffin Meal,6.00,110967.19,Burgers & Muffins,Breakfast Menu
32,2025/01/14,Tue,Singapore,Egg McMuffin®,5.20,96171.57,Burgers & Muffins,Breakfast Menu
33,2025/01/14,Tue,Singapore,Egg McMuffin® Meal,6.30,116515.55,Burgers & Muffins,Breakfast Menu
34,2025/01/14,Tue,Singapore,Breakfast Deluxe™,8.15,150730.44,Platters,Breakfast Menu
35,2025/01/14,Tue,Singapore,Breakfast Deluxe™ Meal,9.60,177547.51,Platters,Breakfast Menu
36,2025/01/14,Tue,Singapore,Big Breakfast®,7.10,131311.18,Platters,Breakfast Menu
37,2025/01/14,Tue,Singapore,Big Breakfast® Meal,8.05,148880.98,Platters,Breakfast Menu
38,2025/01/14,Tue,Singapore,Hotcakes with Sausage,7.30,135010.08,Platters,Breakfast Menu
39,2025/01/14,Tue,Singapore,Hotcakes with Sausage Meal,8.95,165526.06,Platters,Breakfast Menu
40,2025/01/14,Tue,Singapore,Hotcakes,6.30,116515.55,Platters,Breakfast Menu
41,2025/01/14,Tue,Singapore,Hotcakes Meal,8.30,153504.62,Platters,Breakfast Menu
42,2025/01/14,Tue,Singapore,Breakfast Wrap Sausage,6.40,118365.00,Breakfast Wraps,Breakfast Menu
43,2025/01/14,Tue,Singapore,Breakfast Wrap Sausage Meal,8.20,151655.16,Breakfast Wraps,Breakfast Menu
44,2025/01/14,Tue,Singapore,Breakfast Wrap Chicken Ham,6.20,114666.10,Breakfast Wraps,Breakfast Menu
45,2025/01/14,Tue,Singapore,Breakfast Wrap Chicken Ham Meal,8.00,147956.26,Breakfast Wraps,Breakfast Menu
46,2025/01/14,Tue,Singapore,Chicken McNuggets® (20pc),14.95,276493.25,McNuggets®,Breakfast Menu
47,2025/01/14,Tue,Singapore,Chicken McNuggets® (9pc),7.80,144257.35,McNuggets®,Breakfast Menu
48,2025/01/14,Tue,Singapore,Chicken McNuggets® (6pc),6.35,117440.28,McNuggets®,Breakfast Menu
49,2025/01/14,Tue,Singapore,Scrambled Egg Burger Junior Happy Meal®,5.80,107268.29,Happy Meal® and Family Meals,Breakfast Menu
50,2025/01/14,Tue,Singapore,Breakfast Hotcakes (2pc) Happy Meal®,5.80,107268.29,Happy Meal® and Family Meals,Breakfast Menu
51,2025/01/14,Tue,Singapore,Strawberry Bliss Sundae,3.20,59182.50,"Sides, Pies & Desserts",Breakfast Menu
52,2025/01/14,Tue,Singapore,Strawberry Hot Fudge Sundae,3.20,59182.50,"Sides, Pies & Desserts",Breakfast Menu
53,2025/01/14,Tue,Singapore,Strawberry OREO® McFlurry®,3.90,72128.67,"Sides, Pies & Desserts",Breakfast Menu
54,2025/01/14,Tue,Singapore,Maltesers® McFlurry®,4.10,75827.58,"Sides, Pies & Desserts",Breakfast Menu
