,Date,Day,Territory,Menu Item,Price (SGD),Price (VND),Category,Menu
1,2024/12/12,Thu,Singapore,Belgian Waffles Platter,7.80,147297.61,What's New,Breakfast Menu
2,2024/12/12,Thu,Singapore,Belgian Waffles Platter Meal,9.00,169958.78,What's New,Breakfast Menu
3,2024/12/12,Thu,Singapore,2xVM: Belgian Waffles Platter EVM + SME EVM,15.75,297427.87,What's New,Breakfast Menu
4,2024/12/12,Thu,Singapore,2xVM: Belgian Waffles Platter EVM + CME EVM,15.65,295539.44,What's New,Breakfast Menu
5,2024/12/12,Thu,Singapore,Potato Pops,5.70,107640.56,What's New,Breakfast Menu
6,2024/12/12,Thu,Singapore,Maltesers® McFlurry®,4.10,77425.67,What's New,Breakfast Menu
7,2024/12/12,Thu,Singapore,Chicken Bacon and Egg McMuffin®,5.20,98198.41,Burgers & Muffins,Breakfast Menu
8,2024/12/12,Thu,Singapore,Chicken Bacon and Egg McMuffin® Meal,6.30,118971.15,Burgers & Muffins,Breakfast Menu
9,2024/12/12,Thu,Singapore,Double Sausage Egg McMuffin®,6.70,126524.87,Burgers & Muffins,Breakfast Menu
10,2024/12/12,Thu,Singapore,Double Sausage Egg McMuffin® Meal,8.50,160516.63,Burgers & Muffins,Breakfast Menu
11,2024/12/12,Thu,Singapore,Sausage Egg McMuffin®,5.30,100086.84,Burgers & Muffins,Breakfast Menu
12,2024/12/12,Thu,Singapore,Sausage Egg McMuffin® Meal,7.10,134078.59,Burgers & Muffins,Breakfast Menu
13,2024/12/12,Thu,Singapore,Double Sausage McMuffin®,5.70,107640.56,Burgers & Muffins,Breakfast Menu
14,2024/12/12,Thu,Singapore,Double Sausage McMuffin® Meal,7.40,139743.89,Burgers & Muffins,Breakfast Menu
15,2024/12/12,Thu,Singapore,Scrambled Egg Burger with Sausage,5.50,103863.70,Burgers & Muffins,Breakfast Menu
16,2024/12/12,Thu,Singapore,Scrambled Egg Burger with Sausage Meal,7.20,135967.02,Burgers & Muffins,Breakfast Menu
17,2024/12/12,Thu,Singapore,Scrambled Egg Burger with Chicken,5.50,103863.70,Burgers & Muffins,Breakfast Menu
18,2024/12/12,Thu,Singapore,Scrambled Egg Burger with Chicken Meal,7.20,135967.02,Burgers & Muffins,Breakfast Menu
19,2024/12/12,Thu,Singapore,Double Filet-O-Fish®,8.15,153907.12,Burgers & Muffins,Breakfast Menu
20,2024/12/12,Thu,Singapore,Double Filet-O-Fish® Meal,10.00,188843.09,Burgers & Muffins,Breakfast Menu
21,2024/12/12,Thu,Singapore,Filet-O-Fish®,6.25,118026.93,Burgers & Muffins,Breakfast Menu
22,2024/12/12,Thu,Singapore,Filet-O-Fish® Meal,7.60,143520.75,Burgers & Muffins,Breakfast Menu
23,2024/12/12,Thu,Singapore,Chicken Muffin with Egg,5.20,98198.41,Burgers & Muffins,Breakfast Menu
24,2024/12/12,Thu,Singapore,Chicken Muffin with Egg Meal,7.00,132190.16,Burgers & Muffins,Breakfast Menu
25,2024/12/12,Thu,Singapore,Sausage McMuffin®,4.30,81202.53,Burgers & Muffins,Breakfast Menu
26,2024/12/12,Thu,Singapore,Sausage McMuffin® Meal,6.00,113305.85,Burgers & Muffins,Breakfast Menu
27,2024/12/12,Thu,Singapore,Chicken Muffin,4.30,81202.53,Burgers & Muffins,Breakfast Menu
28,2024/12/12,Thu,Singapore,Chicken Muffin Meal,6.00,113305.85,Burgers & Muffins,Breakfast Menu
29,2024/12/12,Thu,Singapore,Egg McMuffin®,5.20,98198.41,Burgers & Muffins,Breakfast Menu
30,2024/12/12,Thu,Singapore,Egg McMuffin® Meal,6.30,118971.15,Burgers & Muffins,Breakfast Menu
31,2024/12/12,Thu,Singapore,Belgian Waffles Platter,7.80,147297.61,Platters,Breakfast Menu
32,2024/12/12,Thu,Singapore,Belgian Waffles Platter Meal,9.00,169958.78,Platters,Breakfast Menu
33,2024/12/12,Thu,Singapore,Breakfast Deluxe™,8.15,153907.12,Platters,Breakfast Menu
34,2024/12/12,Thu,Singapore,Breakfast Deluxe™ Meal,9.60,181289.37,Platters,Breakfast Menu
35,2024/12/12,Thu,Singapore,Big Breakfast®,7.10,134078.59,Platters,Breakfast Menu
36,2024/12/12,Thu,Singapore,Big Breakfast® Meal,8.05,152018.69,Platters,Breakfast Menu
37,2024/12/12,Thu,Singapore,Hotcakes™ with Sausage,7.30,137855.46,Platters,Breakfast Menu
38,2024/12/12,Thu,Singapore,Hotcakes™ with Sausage Meal,8.95,169014.57,Platters,Breakfast Menu
39,2024/12/12,Thu,Singapore,Hotcakes™,6.30,118971.15,Platters,Breakfast Menu
40,2024/12/12,Thu,Singapore,Hotcakes™ Meal,8.30,156739.76,Platters,Breakfast Menu
41,2024/12/12,Thu,Singapore,Breakfast Wrap Sausage,6.40,120859.58,Breakfast Wraps,Breakfast Menu
42,2024/12/12,Thu,Singapore,Breakfast Wrap Sausage Meal,8.20,154851.33,Breakfast Wraps,Breakfast Menu
43,2024/12/12,Thu,Singapore,Breakfast Wrap Chicken Ham,6.20,117082.72,Breakfast Wraps,Breakfast Menu
44,2024/12/12,Thu,Singapore,Breakfast Wrap Chicken Ham Meal,8.00,151074.47,Breakfast Wraps,Breakfast Menu
45,2024/12/12,Thu,Singapore,Fam Meal: Breakfast Deluxe Meal + Sausage McMuffin® with Egg Meal + Hotcakes Happy Meal®,22.20,419231.66,Happy Meal® and Family Meals,Breakfast Menu
46,2024/12/12,Thu,Singapore,Scrambled Egg Burger Junior Happy Meal®,5.80,109528.99,Happy Meal® and Family Meals,Breakfast Menu
47,2024/12/12,Thu,Singapore,Breakfast Hotcakes (2pc) Happy Meal®,5.80,109528.99,Happy Meal® and Family Meals,Breakfast Menu
48,2024/12/12,Thu,Singapore,Potato Pops,5.70,107640.56,"Sides, Pies & Desserts",Breakfast Menu
49,2024/12/12,Thu,Singapore,Maltesers® McFlurry®,4.10,77425.67,"Sides, Pies & Desserts",Breakfast Menu
50,2024/12/12,Thu,Singapore,Hashbrown™,3.20,60429.79,"Sides, Pies & Desserts",Breakfast Menu
51,2024/12/12,Thu,Singapore,Apple Pie,1.90,35880.19,"Sides, Pies & Desserts",Breakfast Menu
52,2024/12/12,Thu,Singapore,Hot Fudge Sundae,2.90,54764.50,"Sides, Pies & Desserts",Breakfast Menu
53,2024/12/12,Thu,Singapore,Strawberry Sundae,2.90,54764.50,"Sides, Pies & Desserts",Breakfast Menu
54,2024/12/12,Thu,Singapore,OREO® McFlurry®,3.60,67983.51,"Sides, Pies & Desserts",Breakfast Menu
55,2024/12/12,Thu,Singapore,Mudpie McFlurry®,4.00,75537.24,"Sides, Pies & Desserts",Breakfast Menu
56,2024/12/12,Thu,Singapore,Strawberry Shortcake McFlurry®,4.00,75537.24,"Sides, Pies & Desserts",Breakfast Menu
57,2024/12/12,Thu,Singapore,Apple Slices,2.30,43433.91,"Sides, Pies & Desserts",Breakfast Menu
