,Date,Day,Territory,Menu Item,Price (SGD),Price (VND),Category,Menu
1,2024/10/28,Mon,Singapore,Chicken Bacon and Egg McMuffin® Meal,6.30,120897.74,What's New,Breakfast Menu
2,2024/10/28,Mon,Singapore,Sausage McMuffin® Meal,6.00,115140.71,What's New,Breakfast Menu
3,2024/10/28,Mon,Singapore,Chicken Muffin Meal,6.00,115140.71,What's New,Breakfast Menu
4,2024/10/28,Mon,Singapore,Egg McMuffin® Meal,6.30,120897.74,What's New,Breakfast Menu
5,2024/10/28,Mon,Singapore,2xVM: Chic Bacon Egg McMuffin EVM + SEB EVM,12.35,236997.96,What's New,Breakfast Menu
6,2024/10/28,Mon,Singapore,Chicken Bacon and Egg McMuffin® Meal,6.30,120897.74,Value Meals,Breakfast Menu
7,2024/10/28,Mon,Singapore,Sausage McMuffin® Meal,6.00,115140.71,Value Meals,Breakfast Menu
8,2024/10/28,Mon,Singapore,Chicken Muffin Meal,6.00,115140.71,Value Meals,Breakfast Menu
9,2024/10/28,Mon,Singapore,Egg McMuffin® Meal,6.30,120897.74,Value Meals,Breakfast Menu
10,2024/10/28,Mon,Singapore,Sausage Egg McMuffin® Meal,7.10,136249.84,Value Meals,Breakfast Menu
11,2024/10/28,Mon,Singapore,Breakfast Wrap Sausage Meal,8.20,157358.97,Value Meals,Breakfast Menu
12,2024/10/28,Mon,Singapore,Breakfast Wrap Chicken Ham Meal,8.00,153520.94,Value Meals,Breakfast Menu
13,2024/10/28,Mon,Singapore,Scrambled Egg Burger with Sausage Meal,7.20,138168.85,Value Meals,Breakfast Menu
14,2024/10/28,Mon,Singapore,Scrambled Egg Burger with Chicken Meal,7.20,138168.85,Value Meals,Breakfast Menu
15,2024/10/28,Mon,Singapore,Double Sausage McMuffin® Meal,7.40,142006.87,Value Meals,Breakfast Menu
16,2024/10/28,Mon,Singapore,Double Sausage Egg McMuffin® Meal,8.50,163116.00,Value Meals,Breakfast Menu
17,2024/10/28,Mon,Singapore,Chicken Muffin with Egg Meal,7.00,134330.83,Value Meals,Breakfast Menu
18,2024/10/28,Mon,Singapore,Breakfast Deluxe™ Meal,9.60,184225.13,Value Meals,Breakfast Menu
19,2024/10/28,Mon,Singapore,Big Breakfast® Meal,8.05,154480.45,Value Meals,Breakfast Menu
