,Date,Day,Territory,Menu Item,Price (SGD),Price (VND),Category,Menu
1,2024/11/21,Thu,Singapore,Breakfast Bagel Smoked Chicken Ham Meal,7.70,145671.70,What's New,Breakfast Menu
2,2024/11/21,Thu,Singapore,Breakfast Bagel Sausage Meal,7.70,145671.70,What's New,Breakfast Menu
3,2024/11/21,Thu,Singapore,Breakfast Bagel Meal,6.85,129591.06,What's New,Breakfast Menu
4,2024/11/21,Thu,Singapore,Breakfast Bagel (Saus/Ham) + Breakfast Deluxe™,16.30,308369.97,What's New,Breakfast Menu
5,2024/11/21,Thu,Singapore,Potato Pops,5.70,107834.90,What's New,Breakfast Menu
6,2024/11/21,Thu,Singapore,Breakfast Bagel Smoked Chicken Ham Meal,7.70,145671.70,Value Meals,Breakfast Menu
7,2024/11/21,Thu,Singapore,Breakfast Bagel Sausage Meal,7.70,145671.70,Value Meals,Breakfast Menu
8,2024/11/21,Thu,Singapore,Breakfast Bagel Meal,6.85,129591.06,Value Meals,Breakfast Menu
9,2024/11/21,Thu,Singapore,Chicken Bacon and Egg McMuffin® Meal,6.30,119185.94,Value Meals,Breakfast Menu
10,2024/11/21,Thu,Singapore,Sausage McMuffin® Meal,6.00,113510.42,Value Meals,Breakfast Menu
11,2024/11/21,Thu,Singapore,Chicken Muffin Meal,6.00,113510.42,Value Meals,Breakfast Menu
12,2024/11/21,Thu,Singapore,Egg McMuffin® Meal,6.30,119185.94,Value Meals,Breakfast Menu
13,2024/11/21,Thu,Singapore,Sausage Egg McMuffin® Meal,7.10,134320.66,Value Meals,Breakfast Menu
14,2024/11/21,Thu,Singapore,Breakfast Wrap Sausage Meal,8.20,155130.90,Value Meals,Breakfast Menu
15,2024/11/21,Thu,Singapore,Breakfast Wrap Chicken Ham Meal,8.00,151347.22,Value Meals,Breakfast Menu
16,2024/11/21,Thu,Singapore,Scrambled Egg Burger with Sausage Meal,7.20,136212.50,Value Meals,Breakfast Menu
17,2024/11/21,Thu,Singapore,Scrambled Egg Burger with Chicken Meal,7.20,136212.50,Value Meals,Breakfast Menu
18,2024/11/21,Thu,Singapore,Double Sausage McMuffin® Meal,7.40,139996.18,Value Meals,Breakfast Menu
19,2024/11/21,Thu,Singapore,Double Sausage Egg McMuffin® Meal,8.50,160806.43,Value Meals,Breakfast Menu
20,2024/11/21,Thu,Singapore,Chicken Muffin with Egg Meal,7.00,132428.82,Value Meals,Breakfast Menu
21,2024/11/21,Thu,Singapore,Breakfast Deluxe™ Meal,9.60,181616.67,Value Meals,Breakfast Menu
22,2024/11/21,Thu,Singapore,Big Breakfast® Meal,8.05,152293.14,Value Meals,Breakfast Menu
23,2024/11/21,Thu,Singapore,Hotcakes™ Meal,8.30,157022.74,Value Meals,Breakfast Menu
24,2024/11/21,Thu,Singapore,Hotcakes™ with Sausage Meal,8.95,169319.71,Value Meals,Breakfast Menu
25,2024/11/21,Thu,Singapore,Filet-O-Fish® Meal,7.60,143779.86,Value Meals,Breakfast Menu
26,2024/11/21,Thu,Singapore,Double Filet-O-Fish® Meal,10.00,189184.03,Value Meals,Breakfast Menu
27,2024/11/21,Thu,Singapore,Double Sausage Egg McMuffin® Meal,8.50,160806.43,Fan Favourites,Breakfast Menu
28,2024/11/21,Thu,Singapore,Double Sausage McMuffin® Meal,7.40,139996.18,Fan Favourites,Breakfast Menu
29,2024/11/21,Thu,Singapore,Breakfast Bagel (Saus/Ham) + Breakfast Deluxe™,16.30,308369.97,Happy Meal® and Family Meals,Breakfast Menu
30,2024/11/21,Thu,Singapore,Fam Meal: Breakfast Deluxe Meal + Sausage McMuffin® with Egg Meal + Hotcakes Happy Meal®,22.20,419988.55,Happy Meal® and Family Meals,Breakfast Menu
31,2024/11/21,Thu,Singapore,Scrambled Egg Burger Junior Happy Meal®,5.80,109726.74,Happy Meal® and Family Meals,Breakfast Menu
32,2024/11/21,Thu,Singapore,Breakfast Hotcakes (2pc) Happy Meal®,5.80,109726.74,Happy Meal® and Family Meals,Breakfast Menu
