,Date,Day,Territory,Menu Item,Price (SGD),Price (VND),Category,Menu
1,2024/11/20,Wed,Singapore,Breakfast Bagel Smoked Chicken Ham Meal,7.70,146100.42,What's New,Breakfast Menu
2,2024/11/20,Wed,Singapore,Breakfast Bagel Sausage Meal,7.70,146100.42,What's New,Breakfast Menu
3,2024/11/20,Wed,Singapore,Breakfast Bagel Meal,6.85,129972.45,What's New,Breakfast Menu
4,2024/11/20,Wed,Singapore,Breakfast Bagel (Saus/Ham) + Breakfast Deluxe™,16.30,309277.52,What's New,Breakfast Menu
5,2024/11/20,Wed,Singapore,Potato Pops,5.70,108152.26,What's New,Breakfast Menu
6,2024/11/20,Wed,Singapore,Breakfast Bagel Smoked Chicken Ham Meal,7.70,146100.42,Value Meals,Breakfast Menu
7,2024/11/20,Wed,Singapore,Breakfast Bagel Sausage Meal,7.70,146100.42,Value Meals,Breakfast Menu
8,2024/11/20,Wed,Singapore,Breakfast Bagel Meal,6.85,129972.45,Value Meals,Breakfast Menu
9,2024/11/20,Wed,Singapore,Chicken Bacon and Egg McMuffin® Meal,6.30,119536.71,Value Meals,Breakfast Menu
10,2024/11/20,Wed,Singapore,Sausage McMuffin® Meal,6.00,113844.49,Value Meals,Breakfast Menu
11,2024/11/20,Wed,Singapore,Chicken Muffin Meal,6.00,113844.49,Value Meals,Breakfast Menu
12,2024/11/20,Wed,Singapore,Egg McMuffin® Meal,6.30,119536.71,Value Meals,Breakfast Menu
13,2024/11/20,Wed,Singapore,Sausage Egg McMuffin® Meal,7.10,134715.98,Value Meals,Breakfast Menu
14,2024/11/20,Wed,Singapore,Breakfast Wrap Sausage Meal,8.20,155587.46,Value Meals,Breakfast Menu
15,2024/11/20,Wed,Singapore,Breakfast Wrap Chicken Ham Meal,8.00,151792.65,Value Meals,Breakfast Menu
16,2024/11/20,Wed,Singapore,Scrambled Egg Burger with Sausage Meal,7.20,136613.38,Value Meals,Breakfast Menu
17,2024/11/20,Wed,Singapore,Scrambled Egg Burger with Chicken Meal,7.20,136613.38,Value Meals,Breakfast Menu
18,2024/11/20,Wed,Singapore,Double Sausage McMuffin® Meal,7.40,140408.20,Value Meals,Breakfast Menu
19,2024/11/20,Wed,Singapore,Double Sausage Egg McMuffin® Meal,8.50,161279.69,Value Meals,Breakfast Menu
20,2024/11/20,Wed,Singapore,Chicken Muffin with Egg Meal,7.00,132818.57,Value Meals,Breakfast Menu
21,2024/11/20,Wed,Singapore,Breakfast Deluxe™ Meal,9.60,182151.18,Value Meals,Breakfast Menu
22,2024/11/20,Wed,Singapore,Big Breakfast® Meal,8.05,152741.35,Value Meals,Breakfast Menu
23,2024/11/20,Wed,Singapore,Hotcakes™ Meal,8.30,157484.87,Value Meals,Breakfast Menu
24,2024/11/20,Wed,Singapore,Hotcakes™ with Sausage Meal,8.95,169818.02,Value Meals,Breakfast Menu
25,2024/11/20,Wed,Singapore,Filet-O-Fish® Meal,7.60,144203.02,Value Meals,Breakfast Menu
26,2024/11/20,Wed,Singapore,Double Filet-O-Fish® Meal,10.00,189740.81,Value Meals,Breakfast Menu
27,2024/11/20,Wed,Singapore,Double Sausage Egg McMuffin® Meal,8.50,161279.69,Fan Favourites,Breakfast Menu
28,2024/11/20,Wed,Singapore,Double Sausage McMuffin® Meal,7.40,140408.20,Fan Favourites,Breakfast Menu
29,2024/11/20,Wed,Singapore,Breakfast Bagel (Saus/Ham) + Breakfast Deluxe™,16.30,309277.52,Happy Meal® and Family Meals,Breakfast Menu
30,2024/11/20,Wed,Singapore,Fam Meal: Breakfast Deluxe Meal + Sausage McMuffin® with Egg Meal + Hotcakes Happy Meal®,22.20,421224.60,Happy Meal® and Family Meals,Breakfast Menu
31,2024/11/20,Wed,Singapore,Scrambled Egg Burger Junior Happy Meal®,5.80,110049.67,Happy Meal® and Family Meals,Breakfast Menu
32,2024/11/20,Wed,Singapore,Breakfast Hotcakes (2pc) Happy Meal®,5.80,110049.67,Happy Meal® and Family Meals,Breakfast Menu
33,2024/11/20,Wed,Singapore,Breakfast Bagel Smoked Chicken Ham,5.80,110049.67,Ala Carte,Breakfast Menu
34,2024/11/20,Wed,Singapore,Breakfast Bagel Sausage,5.80,110049.67,Ala Carte,Breakfast Menu
35,2024/11/20,Wed,Singapore,Breakfast Bagel,4.85,92024.29,Ala Carte,Breakfast Menu
36,2024/11/20,Wed,Singapore,Chicken Bacon and Egg McMuffin®,5.20,98665.22,Ala Carte,Breakfast Menu
