,Date,Day,Territory,Menu Item,Price (SGD),Price (VND),Category,Menu
1,2024/11/01,Fri,Singapore,Breakfast Bagel Smoked Chicken Ham Meal,7.70,147247.76,What's New,Breakfast Menu
2,2024/11/01,Fri,Singapore,Breakfast Bagel Sausage Meal,7.70,147247.76,What's New,Breakfast Menu
3,2024/11/01,Fri,Singapore,Breakfast Bagel Meal,6.85,130993.14,What's New,Breakfast Menu
4,2024/11/01,Fri,Singapore,Breakfast Bagel (Saus/Ham) + Breakfast Deluxe™,16.30,311706.30,What's New,Breakfast Menu
5,2024/11/01,Fri,Singapore,Breakfast Bagel Smoked Chicken Ham Meal,7.70,147247.76,Value Meals,Breakfast Menu
6,2024/11/01,Fri,Singapore,Breakfast Bagel Sausage Meal,7.70,147247.76,Value Meals,Breakfast Menu
7,2024/11/01,Fri,Singapore,Breakfast Bagel Meal,6.85,130993.14,Value Meals,Breakfast Menu
8,2024/11/01,Fri,Singapore,Chicken Bacon and Egg McMuffin® Meal,6.30,120475.44,Value Meals,Breakfast Menu
9,2024/11/01,Fri,Singapore,Sausage McMuffin® Meal,6.00,114738.52,Value Meals,Breakfast Menu
10,2024/11/01,Fri,Singapore,Chicken Muffin Meal,6.00,114738.52,Value Meals,Breakfast Menu
11,2024/11/01,Fri,Singapore,Egg McMuffin® Meal,6.30,120475.44,Value Meals,Breakfast Menu
12,2024/11/01,Fri,Singapore,Sausage Egg McMuffin® Meal,7.10,135773.91,Value Meals,Breakfast Menu
13,2024/11/01,Fri,Singapore,Breakfast Wrap Sausage Meal,8.20,156809.31,Value Meals,Breakfast Menu
14,2024/11/01,Fri,Singapore,Breakfast Wrap Chicken Ham Meal,8.00,152984.69,Value Meals,Breakfast Menu
15,2024/11/01,Fri,Singapore,Scrambled Egg Burger with Sausage Meal,7.20,137686.22,Value Meals,Breakfast Menu
16,2024/11/01,Fri,Singapore,Scrambled Egg Burger with Chicken Meal,7.20,137686.22,Value Meals,Breakfast Menu
17,2024/11/01,Fri,Singapore,Double Sausage McMuffin® Meal,7.40,141510.84,Value Meals,Breakfast Menu
18,2024/11/01,Fri,Singapore,Double Sausage Egg McMuffin® Meal,8.50,162546.23,Value Meals,Breakfast Menu
19,2024/11/01,Fri,Singapore,Chicken Muffin with Egg Meal,7.00,133861.60,Value Meals,Breakfast Menu
20,2024/11/01,Fri,Singapore,Breakfast Deluxe™ Meal,9.60,183581.63,Value Meals,Breakfast Menu
21,2024/11/01,Fri,Singapore,Big Breakfast® Meal,8.05,153940.84,Value Meals,Breakfast Menu
