,Date,Day,Territory,Menu Item,Price (SGD),Price (VND),Category,Menu
1,2025/01/29,Wed,Singapore,Prosperity Waffles Platter,8.65,160450.26,What's New,Breakfast Menu
2,2025/01/29,Wed,Singapore,Prosperity Waffles Platter Meal,10.30,191056.38,What's New,Breakfast Menu
3,2025/01/29,Wed,Singapore,McMuffin Stack,7.90,146538.39,What's New,Breakfast Menu
4,2025/01/29,Wed,Singapore,McMuffin Stack Meal,9.70,179926.88,What's New,Breakfast Menu
5,2025/01/29,Wed,Singapore,McMuffin Stack,7.90,146538.39,Burgers & Muffins,Breakfast Menu
6,2025/01/29,Wed,Singapore,McMuffin Stack Meal,9.70,179926.88,Burgers & Muffins,Breakfast Menu
7,2025/01/29,Wed,Singapore,Double Sausage Egg McMuffin®,6.70,124279.39,Burgers & Muffins,Breakfast Menu
8,2025/01/29,Wed,Singapore,Double Sausage Egg McMuffin® Meal,8.50,157667.89,Burgers & Muffins,Breakfast Menu
9,2025/01/29,Wed,Singapore,Sausage Egg McMuffin®,5.30,98310.56,Burgers & Muffins,Breakfast Menu
10,2025/01/29,Wed,Singapore,Sausage Egg McMuffin® Meal,7.10,131699.06,Burgers & Muffins,Breakfast Menu
11,2025/01/29,Wed,Singapore,Double Sausage McMuffin®,5.70,105730.23,Burgers & Muffins,Breakfast Menu
12,2025/01/29,Wed,Singapore,Double Sausage McMuffin® Meal,7.40,137263.81,Burgers & Muffins,Breakfast Menu
13,2025/01/29,Wed,Singapore,Scrambled Egg Burger with Sausage,5.50,102020.40,Burgers & Muffins,Breakfast Menu
14,2025/01/29,Wed,Singapore,Scrambled Egg Burger with Sausage Meal,7.20,133553.97,Burgers & Muffins,Breakfast Menu
15,2025/01/29,Wed,Singapore,Scrambled Egg Burger with Chicken,5.50,102020.40,Burgers & Muffins,Breakfast Menu
16,2025/01/29,Wed,Singapore,Scrambled Egg Burger with Chicken Meal,7.20,133553.97,Burgers & Muffins,Breakfast Menu
17,2025/01/29,Wed,Singapore,Double Filet-O-Fish®,8.15,151175.68,Burgers & Muffins,Breakfast Menu
18,2025/01/29,Wed,Singapore,Double Filet-O-Fish® Meal,10.00,185491.63,Burgers & Muffins,Breakfast Menu
19,2025/01/29,Wed,Singapore,Filet-O-Fish®,6.25,115932.27,Burgers & Muffins,Breakfast Menu
20,2025/01/29,Wed,Singapore,Filet-O-Fish® Meal,7.60,140973.64,Burgers & Muffins,Breakfast Menu
21,2025/01/29,Wed,Singapore,Chicken Muffin with Egg,5.20,96455.65,Burgers & Muffins,Breakfast Menu
22,2025/01/29,Wed,Singapore,Chicken Muffin with Egg Meal,7.00,129844.14,Burgers & Muffins,Breakfast Menu
23,2025/01/29,Wed,Singapore,Chicken Bacon and Egg McMuffin®,5.20,96455.65,Burgers & Muffins,Breakfast Menu
24,2025/01/29,Wed,Singapore,Chicken Bacon and Egg McMuffin® Meal,6.30,116859.73,Burgers & Muffins,Breakfast Menu
25,2025/01/29,Wed,Singapore,Sausage McMuffin®,4.30,79761.40,Burgers & Muffins,Breakfast Menu
26,2025/01/29,Wed,Singapore,Sausage McMuffin® Meal,6.00,111294.98,Burgers & Muffins,Breakfast Menu
27,2025/01/29,Wed,Singapore,Chicken Muffin,4.30,79761.40,Burgers & Muffins,Breakfast Menu
28,2025/01/29,Wed,Singapore,Chicken Muffin Meal,6.00,111294.98,Burgers & Muffins,Breakfast Menu
29,2025/01/29,Wed,Singapore,Egg McMuffin®,5.20,96455.65,Burgers & Muffins,Breakfast Menu
30,2025/01/29,Wed,Singapore,Egg McMuffin® Meal,6.30,116859.73,Burgers & Muffins,Breakfast Menu
31,2025/01/29,Wed,Singapore,Prosperity Waffles Platter,8.65,160450.26,Platters,Breakfast Menu
32,2025/01/29,Wed,Singapore,Prosperity Waffles Platter Meal,10.30,191056.38,Platters,Breakfast Menu
33,2025/01/29,Wed,Singapore,Breakfast Deluxe,8.15,151175.68,Platters,Breakfast Menu
34,2025/01/29,Wed,Singapore,Breakfast Deluxe Meal,9.60,178071.96,Platters,Breakfast Menu
35,2025/01/29,Wed,Singapore,Big Breakfast®,7.10,131699.06,Platters,Breakfast Menu
36,2025/01/29,Wed,Singapore,Big Breakfast® Meal,8.05,149320.76,Platters,Breakfast Menu
37,2025/01/29,Wed,Singapore,Hotcakes with Sausage,7.30,135408.89,Platters,Breakfast Menu
38,2025/01/29,Wed,Singapore,Hotcakes with Sausage Meal,8.95,166015.01,Platters,Breakfast Menu
39,2025/01/29,Wed,Singapore,Hotcakes,6.30,116859.73,Platters,Breakfast Menu
