,Date,Day,Territory,Menu Item,Price (SGD),Price (VND),Category,Menu
1,2024/12/26,Thu,Singapore,Belgian Waffles Platter,7.80,147038.03,What's New,Breakfast Menu
2,2024/12/26,Thu,Singapore,Belgian Waffles Platter Meal,9.00,169659.26,What's New,Breakfast Menu
3,2024/12/26,Thu,Singapore,2xVM: Belgian Waffles Platter EVM + SME EVM,15.75,296903.71,What's New,Breakfast Menu
4,2024/12/26,Thu,Singapore,2xVM: Belgian Waffles Platter EVM + CME EVM,15.65,295018.60,What's New,Breakfast Menu
5,2024/12/26,Thu,Singapore,Maltesers® McFlurry®,4.10,77289.22,What's New,Breakfast Menu
6,2024/12/26,Thu,Singapore,Chicken Bacon and Egg McMuffin®,5.20,98025.35,Burgers & Muffins,Breakfast Menu
7,2024/12/26,Thu,Singapore,Chicken Bacon and Egg McMuffin® Meal,6.30,118761.48,Burgers & Muffins,Breakfast Menu
8,2024/12/26,Thu,Singapore,Double Sausage Egg McMuffin®,6.70,126301.89,Burgers & Muffins,Breakfast Menu
9,2024/12/26,Thu,Singapore,Double Sausage Egg McMuffin® Meal,8.50,160233.75,Burgers & Muffins,Breakfast Menu
10,2024/12/26,Thu,Singapore,Sausage Egg McMuffin®,5.30,99910.45,Burgers & Muffins,Breakfast Menu
11,2024/12/26,Thu,Singapore,Sausage Egg McMuffin® Meal,7.10,133842.31,Burgers & Muffins,Breakfast Menu
12,2024/12/26,Thu,Singapore,Double Sausage McMuffin®,5.70,107450.87,Burgers & Muffins,Breakfast Menu
13,2024/12/26,Thu,Singapore,Double Sausage McMuffin® Meal,7.40,139497.61,Burgers & Muffins,Breakfast Menu
14,2024/12/26,Thu,Singapore,Scrambled Egg Burger with Sausage,5.50,103680.66,Burgers & Muffins,Breakfast Menu
15,2024/12/26,Thu,Singapore,Scrambled Egg Burger with Sausage Meal,7.20,135727.41,Burgers & Muffins,Breakfast Menu
16,2024/12/26,Thu,Singapore,Scrambled Egg Burger with Chicken,5.50,103680.66,Burgers & Muffins,Breakfast Menu
17,2024/12/26,Thu,Singapore,Scrambled Egg Burger with Chicken Meal,7.20,135727.41,Burgers & Muffins,Breakfast Menu
18,2024/12/26,Thu,Singapore,Double Filet-O-Fish®,8.15,153635.89,Burgers & Muffins,Breakfast Menu
19,2024/12/26,Thu,Singapore,Double Filet-O-Fish® Meal,10.00,188510.29,Burgers & Muffins,Breakfast Menu
20,2024/12/26,Thu,Singapore,Filet-O-Fish®,6.25,117818.93,Burgers & Muffins,Breakfast Menu
21,2024/12/26,Thu,Singapore,Filet-O-Fish® Meal,7.60,143267.82,Burgers & Muffins,Breakfast Menu
22,2024/12/26,Thu,Singapore,Chicken Muffin with Egg,5.20,98025.35,Burgers & Muffins,Breakfast Menu
23,2024/12/26,Thu,Singapore,Chicken Muffin with Egg Meal,7.00,131957.20,Burgers & Muffins,Breakfast Menu
24,2024/12/26,Thu,Singapore,Sausage McMuffin®,4.30,81059.42,Burgers & Muffins,Breakfast Menu
25,2024/12/26,Thu,Singapore,Sausage McMuffin® Meal,6.00,113106.17,Burgers & Muffins,Breakfast Menu
26,2024/12/26,Thu,Singapore,Chicken Muffin,4.30,81059.42,Burgers & Muffins,Breakfast Menu
27,2024/12/26,Thu,Singapore,Chicken Muffin Meal,6.00,113106.17,Burgers & Muffins,Breakfast Menu
28,2024/12/26,Thu,Singapore,Egg McMuffin®,5.20,98025.35,Burgers & Muffins,Breakfast Menu
29,2024/12/26,Thu,Singapore,Egg McMuffin® Meal,6.30,118761.48,Burgers & Muffins,Breakfast Menu
30,2024/12/26,Thu,Singapore,Belgian Waffles Platter,7.80,147038.03,Platters,Breakfast Menu
31,2024/12/26,Thu,Singapore,Belgian Waffles Platter Meal,9.00,169659.26,Platters,Breakfast Menu
32,2024/12/26,Thu,Singapore,Breakfast Deluxe™,8.15,153635.89,Platters,Breakfast Menu
33,2024/12/26,Thu,Singapore,Breakfast Deluxe™ Meal,9.60,180969.88,Platters,Breakfast Menu
34,2024/12/26,Thu,Singapore,Big Breakfast®,7.10,133842.31,Platters,Breakfast Menu
35,2024/12/26,Thu,Singapore,Big Breakfast® Meal,8.05,151750.78,Platters,Breakfast Menu
36,2024/12/26,Thu,Singapore,Hotcakes with Sausage,7.30,137612.51,Platters,Breakfast Menu
37,2024/12/26,Thu,Singapore,Hotcakes with Sausage Meal,8.95,168716.71,Platters,Breakfast Menu
38,2024/12/26,Thu,Singapore,Hotcakes,6.30,118761.48,Platters,Breakfast Menu
39,2024/12/26,Thu,Singapore,Hotcakes Meal,8.30,156463.54,Platters,Breakfast Menu
40,2024/12/26,Thu,Singapore,Breakfast Wrap Sausage,6.40,120646.59,Breakfast Wraps,Breakfast Menu
41,2024/12/26,Thu,Singapore,Breakfast Wrap Sausage Meal,8.20,154578.44,Breakfast Wraps,Breakfast Menu
42,2024/12/26,Thu,Singapore,Breakfast Wrap Chicken Ham,6.20,116876.38,Breakfast Wraps,Breakfast Menu
43,2024/12/26,Thu,Singapore,Breakfast Wrap Chicken Ham Meal,8.00,150808.23,Breakfast Wraps,Breakfast Menu
44,2024/12/26,Thu,Singapore,Scrambled Egg Burger Junior Happy Meal®,5.80,109335.97,Happy Meal® and Family Meals,Breakfast Menu
45,2024/12/26,Thu,Singapore,Breakfast Hotcakes (2pc) Happy Meal®,5.80,109335.97,Happy Meal® and Family Meals,Breakfast Menu
46,2024/12/26,Thu,Singapore,Maltesers® McFlurry®,4.10,77289.22,"Sides, Pies & Desserts",Breakfast Menu
47,2024/12/26,Thu,Singapore,Pineapple Twist Hot Fudge Sundae,2.95,55610.54,"Sides, Pies & Desserts",Breakfast Menu
48,2024/12/26,Thu,Singapore,Pineapple Twist Strawberry Sundae,2.95,55610.54,"Sides, Pies & Desserts",Breakfast Menu
49,2024/12/26,Thu,Singapore,Hash Brown,3.20,60323.29,"Sides, Pies & Desserts",Breakfast Menu
50,2024/12/26,Thu,Singapore,Apple Pie,1.90,35816.96,"Sides, Pies & Desserts",Breakfast Menu
51,2024/12/26,Thu,Singapore,Hot Fudge Sundae,2.90,54667.98,"Sides, Pies & Desserts",Breakfast Menu
52,2024/12/26,Thu,Singapore,Strawberry Sundae,2.90,54667.98,"Sides, Pies & Desserts",Breakfast Menu
53,2024/12/26,Thu,Singapore,OREO® McFlurry®,3.60,67863.70,"Sides, Pies & Desserts",Breakfast Menu
54,2024/12/26,Thu,Singapore,Apple Slices,2.30,43357.37,"Sides, Pies & Desserts",Breakfast Menu
55,2024/12/26,Thu,Singapore,McCafé Iced Latte (No Sugar),4.70,88599.84,Drinks,Breakfast Menu
56,2024/12/26,Thu,Singapore,McCafé Iced Latte (With Sugar Syrup),4.70,88599.84,Drinks,Breakfast Menu
57,2024/12/26,Thu,Singapore,McCafé Latte,4.50,84829.63,Drinks,Breakfast Menu
58,2024/12/26,Thu,Singapore,McCafé Cappuccino,4.50,84829.63,Drinks,Breakfast Menu
59,2024/12/26,Thu,Singapore,McCafé Premium Roast Coffee Black,3.50,65978.60,Drinks,Breakfast Menu
60,2024/12/26,Thu,Singapore,McCafé Premium Roast Coffee with Milk,3.50,65978.60,Drinks,Breakfast Menu
61,2024/12/26,Thu,Singapore,Iced Milo® Small,4.50,84829.63,Drinks,Breakfast Menu
62,2024/12/26,Thu,Singapore,Iced Milo® Medium,4.70,88599.84,Drinks,Breakfast Menu
63,2024/12/26,Thu,Singapore,Hot Milo®,3.60,67863.70,Drinks,Breakfast Menu
64,2024/12/26,Thu,Singapore,Tea Black,3.50,65978.60,Drinks,Breakfast Menu
65,2024/12/26,Thu,Singapore,Tea with Milk,3.50,65978.60,Drinks,Breakfast Menu
66,2024/12/26,Thu,Singapore,Coke® Zero Sugar Small,3.50,65978.60,Drinks,Breakfast Menu
67,2024/12/26,Thu,Singapore,Coke® Zero Sugar Medium,4.20,79174.32,Drinks,Breakfast Menu
68,2024/12/26,Thu,Singapore,Coke® Zero Sugar Large,4.50,84829.63,Drinks,Breakfast Menu
69,2024/12/26,Thu,Singapore,Coke® Original Taste Less Sugar Small,3.50,65978.60,Drinks,Breakfast Menu
70,2024/12/26,Thu,Singapore,Coke® Original Taste Less Sugar Medium,4.20,79174.32,Drinks,Breakfast Menu
71,2024/12/26,Thu,Singapore,Coke® Original Taste Less Sugar Large,4.50,84829.63,Drinks,Breakfast Menu
72,2024/12/26,Thu,Singapore,Sprite® Small,3.50,65978.60,Drinks,Breakfast Menu
73,2024/12/26,Thu,Singapore,Sprite® Medium,4.20,79174.32,Drinks,Breakfast Menu
74,2024/12/26,Thu,Singapore,Sprite® Large,4.50,84829.63,Drinks,Breakfast Menu
75,2024/12/26,Thu,Singapore,Iced Lemon Tea Small,4.30,81059.42,Drinks,Breakfast Menu
76,2024/12/26,Thu,Singapore,Iced Lemon Tea Medium,4.55,85772.18,Drinks,Breakfast Menu
77,2024/12/26,Thu,Singapore,Iced Lemon Tea Large,4.75,89542.39,Drinks,Breakfast Menu
78,2024/12/26,Thu,Singapore,Jasmine Green Tea Small,4.30,81059.42,Drinks,Breakfast Menu
79,2024/12/26,Thu,Singapore,Jasmine Green Tea Medium,4.55,85772.18,Drinks,Breakfast Menu
80,2024/12/26,Thu,Singapore,Caramel Custard Frappé (S),5.25,98967.90,Drinks,Breakfast Menu
81,2024/12/26,Thu,Singapore,Caramel Custard Frappé (M),5.95,112163.62,Drinks,Breakfast Menu
82,2024/12/26,Thu,Singapore,Mocha Frappé  Small,4.75,89542.39,Drinks,Breakfast Menu
83,2024/12/26,Thu,Singapore,Mocha Frappé Medium,5.30,99910.45,Drinks,Breakfast Menu
84,2024/12/26,Thu,Singapore,Double Chocolate Frappé Small,4.75,89542.39,Drinks,Breakfast Menu
85,2024/12/26,Thu,Singapore,Double Chocolate Frappé Medium,5.30,99910.45,Drinks,Breakfast Menu
86,2024/12/26,Thu,Singapore,Caramel Frappé Small,4.75,89542.39,Drinks,Breakfast Menu
87,2024/12/26,Thu,Singapore,Caramel Frappé Medium,5.30,99910.45,Drinks,Breakfast Menu
88,2024/12/26,Thu,Singapore,Pure Orange Juice Small,4.60,86714.73,Drinks,Breakfast Menu
89,2024/12/26,Thu,Singapore,Oatside Chocolate Flavoured Oatmilk,3.20,60323.29,Drinks,Breakfast Menu
90,2024/12/26,Thu,Singapore,Oatside Original Flavoured Oatmilk,3.20,60323.29,Drinks,Breakfast Menu
91,2024/12/26,Thu,Singapore,Kiyo Grape Juice,2.50,47127.57,Drinks,Breakfast Menu
92,2024/12/26,Thu,Singapore,"Low-fat, High-Calcium Milk",3.35,63150.95,Drinks,Breakfast Menu
