,Date,Day,Territory,Menu Item,Price (SGD),Price (VND),Category,Menu
1,2025/01/07,Tue,Singapore,Chicken Bacon and Egg McMuffin®,5.20,96667.26,What's New,Breakfast Menu
2,2025/01/07,Tue,Singapore,Chicken Bacon and Egg McMuffin® Meal,6.30,117116.11,What's New,Breakfast Menu
3,2025/01/07,Tue,Singapore,Sausage McMuffin®,4.30,79936.39,What's New,Breakfast Menu
4,2025/01/07,Tue,Singapore,Sausage McMuffin® Meal,6.00,111539.15,What's New,Breakfast Menu
5,2025/01/07,Tue,Singapore,Chicken Muffin,4.30,79936.39,What's New,Breakfast Menu
6,2025/01/07,Tue,Singapore,Chicken Muffin Meal,6.00,111539.15,What's New,Breakfast Menu
7,2025/01/07,Tue,Singapore,Egg McMuffin®,5.20,96667.26,What's New,Breakfast Menu
8,2025/01/07,Tue,Singapore,Egg McMuffin® Meal,6.30,117116.11,What's New,Breakfast Menu
9,2025/01/07,Tue,Singapore,2xVM: Chic Bacon Egg McMuffin EVM + SEB EVM,12.35,229584.75,What's New,Breakfast Menu
10,2025/01/07,Tue,Singapore,Chicken Bacon and Egg McMuffin®,5.20,96667.26,Burgers & Muffins,Breakfast Menu
11,2025/01/07,Tue,Singapore,Chicken Bacon and Egg McMuffin® Meal,6.30,117116.11,Burgers & Muffins,Breakfast Menu
12,2025/01/07,Tue,Singapore,Double Sausage Egg McMuffin®,6.70,124552.05,Burgers & Muffins,Breakfast Menu
13,2025/01/07,Tue,Singapore,Double Sausage Egg McMuffin® Meal,8.50,158013.79,Burgers & Muffins,Breakfast Menu
14,2025/01/07,Tue,Singapore,Sausage Egg McMuffin®,5.30,98526.25,Burgers & Muffins,Breakfast Menu
15,2025/01/07,Tue,Singapore,Sausage Egg McMuffin® Meal,7.10,131987.99,Burgers & Muffins,Breakfast Menu
16,2025/01/07,Tue,Singapore,Double Sausage McMuffin®,5.70,105962.19,Burgers & Muffins,Breakfast Menu
17,2025/01/07,Tue,Singapore,Double Sausage McMuffin® Meal,7.40,137564.95,Burgers & Muffins,Breakfast Menu
18,2025/01/07,Tue,Singapore,Scrambled Egg Burger with Sausage,5.50,102244.22,Burgers & Muffins,Breakfast Menu
19,2025/01/07,Tue,Singapore,Scrambled Egg Burger with Sausage Meal,7.20,133846.98,Burgers & Muffins,Breakfast Menu
20,2025/01/07,Tue,Singapore,Scrambled Egg Burger with Chicken,5.50,102244.22,Burgers & Muffins,Breakfast Menu
21,2025/01/07,Tue,Singapore,Scrambled Egg Burger with Chicken Meal,7.20,133846.98,Burgers & Muffins,Breakfast Menu
22,2025/01/07,Tue,Singapore,Double Filet-O-Fish®,8.15,151507.34,Burgers & Muffins,Breakfast Menu
23,2025/01/07,Tue,Singapore,Double Filet-O-Fish® Meal,10.00,185898.58,Burgers & Muffins,Breakfast Menu
24,2025/01/07,Tue,Singapore,Filet-O-Fish®,6.25,116186.61,Burgers & Muffins,Breakfast Menu
25,2025/01/07,Tue,Singapore,Filet-O-Fish® Meal,7.60,141282.92,Burgers & Muffins,Breakfast Menu
26,2025/01/07,Tue,Singapore,Chicken Muffin with Egg,5.20,96667.26,Burgers & Muffins,Breakfast Menu
27,2025/01/07,Tue,Singapore,Chicken Muffin with Egg Meal,7.00,130129.01,Burgers & Muffins,Breakfast Menu
28,2025/01/07,Tue,Singapore,Sausage McMuffin®,4.30,79936.39,Burgers & Muffins,Breakfast Menu
29,2025/01/07,Tue,Singapore,Sausage McMuffin® Meal,6.00,111539.15,Burgers & Muffins,Breakfast Menu
30,2025/01/07,Tue,Singapore,Chicken Muffin,4.30,79936.39,Burgers & Muffins,Breakfast Menu
31,2025/01/07,Tue,Singapore,Chicken Muffin Meal,6.00,111539.15,Burgers & Muffins,Breakfast Menu
32,2025/01/07,Tue,Singapore,Egg McMuffin®,5.20,96667.26,Burgers & Muffins,Breakfast Menu
33,2025/01/07,Tue,Singapore,Egg McMuffin® Meal,6.30,117116.11,Burgers & Muffins,Breakfast Menu
34,2025/01/07,Tue,Singapore,Breakfast Deluxe™,8.15,151507.34,Platters,Breakfast Menu
35,2025/01/07,Tue,Singapore,Breakfast Deluxe™ Meal,9.60,178462.64,Platters,Breakfast Menu
36,2025/01/07,Tue,Singapore,Big Breakfast®,7.10,131987.99,Platters,Breakfast Menu
37,2025/01/07,Tue,Singapore,Big Breakfast® Meal,8.05,149648.36,Platters,Breakfast Menu
38,2025/01/07,Tue,Singapore,Hotcakes with Sausage,7.30,135705.96,Platters,Breakfast Menu
39,2025/01/07,Tue,Singapore,Hotcakes with Sausage Meal,8.95,166379.23,Platters,Breakfast Menu
40,2025/01/07,Tue,Singapore,Hotcakes,6.30,117116.11,Platters,Breakfast Menu
41,2025/01/07,Tue,Singapore,Hotcakes Meal,8.30,154295.82,Platters,Breakfast Menu
42,2025/01/07,Tue,Singapore,Breakfast Wrap Sausage,6.40,118975.09,Breakfast Wraps,Breakfast Menu
43,2025/01/07,Tue,Singapore,Breakfast Wrap Sausage Meal,8.20,152436.84,Breakfast Wraps,Breakfast Menu
44,2025/01/07,Tue,Singapore,Breakfast Wrap Chicken Ham,6.20,115257.12,Breakfast Wraps,Breakfast Menu
45,2025/01/07,Tue,Singapore,Breakfast Wrap Chicken Ham Meal,8.00,148718.86,Breakfast Wraps,Breakfast Menu
46,2025/01/07,Tue,Singapore,Chicken McNuggets® (20pc),14.95,277918.38,McNuggets®,Breakfast Menu
47,2025/01/07,Tue,Singapore,Chicken McNuggets® (9pc),7.80,145000.89,McNuggets®,Breakfast Menu
48,2025/01/07,Tue,Singapore,Chicken McNuggets® (6pc),6.35,118045.60,McNuggets®,Breakfast Menu
