,Date,Day,Territory,Menu Item,Price (SGD),Price (VND),Category,Menu
1,2024/12/02,Mon,Singapore,Breakfast Bagel Smoked Chicken Ham Meal,7.70,145741.67,What's New,Breakfast Menu
2,2024/12/02,Mon,Singapore,Breakfast Bagel Sausage Meal,7.70,145741.67,What's New,Breakfast Menu
3,2024/12/02,Mon,Singapore,Breakfast Bagel Meal,6.85,129653.30,What's New,Breakfast Menu
4,2024/12/02,Mon,Singapore,Breakfast Bagel (Saus/Ham) + Breakfast Deluxe™,16.30,308518.07,What's New,Breakfast Menu
5,2024/12/02,Mon,Singapore,Potato Pops,5.70,107886.69,What's New,Breakfast Menu
6,2024/12/02,Mon,Singapore,Maltesers® McFlurry®,4.10,77602.70,What's New,Breakfast Menu
7,2024/12/02,Mon,Singapore,Breakfast Bagel Smoked Chicken Ham Meal,7.70,145741.67,Value Meals,Breakfast Menu
8,2024/12/02,Mon,Singapore,Breakfast Bagel Sausage Meal,7.70,145741.67,Value Meals,Breakfast Menu
9,2024/12/02,Mon,Singapore,Breakfast Bagel Meal,6.85,129653.30,Value Meals,Breakfast Menu
10,2024/12/02,Mon,Singapore,Chicken Bacon and Egg McMuffin® Meal,6.30,119243.18,Value Meals,Breakfast Menu
11,2024/12/02,Mon,Singapore,Sausage McMuffin® Meal,6.00,113564.93,Value Meals,Breakfast Menu
12,2024/12/02,Mon,Singapore,Chicken Muffin Meal,6.00,113564.93,Value Meals,Breakfast Menu
13,2024/12/02,Mon,Singapore,Egg McMuffin® Meal,6.30,119243.18,Value Meals,Breakfast Menu
14,2024/12/02,Mon,Singapore,Sausage Egg McMuffin® Meal,7.10,134385.17,Value Meals,Breakfast Menu
15,2024/12/02,Mon,Singapore,Breakfast Wrap Sausage Meal,8.20,155205.41,Value Meals,Breakfast Menu
16,2024/12/02,Mon,Singapore,Breakfast Wrap Chicken Ham Meal,8.00,151419.91,Value Meals,Breakfast Menu
17,2024/12/02,Mon,Singapore,Scrambled Egg Burger with Sausage Meal,7.20,136277.92,Value Meals,Breakfast Menu
18,2024/12/02,Mon,Singapore,Scrambled Egg Burger with Chicken Meal,7.20,136277.92,Value Meals,Breakfast Menu
19,2024/12/02,Mon,Singapore,Double Sausage McMuffin® Meal,7.40,140063.42,Value Meals,Breakfast Menu
20,2024/12/02,Mon,Singapore,Double Sausage Egg McMuffin® Meal,8.50,160883.66,Value Meals,Breakfast Menu
