,Date,Day,Territory,Menu Item,Price (SGD),Price (VND),Category,Menu
1,2024/11/09,Sat,Singapore,Breakfast Bagel Smoked Chicken Ham Meal,7.70,146459.21,What's New,Breakfast Menu
2,2024/11/09,Sat,Singapore,Breakfast Bagel Sausage Meal,7.70,146459.21,What's New,Breakfast Menu
3,2024/11/09,Sat,Singapore,Breakfast Bagel Meal,6.85,130291.63,What's New,Breakfast Menu
4,2024/11/09,Sat,Singapore,Breakfast Bagel (Saus/Ham) + Breakfast Deluxe™,16.30,310037.02,What's New,Breakfast Menu
5,2024/11/09,Sat,Singapore,Breakfast Bagel Smoked Chicken Ham Meal,7.70,146459.21,Value Meals,Breakfast Menu
6,2024/11/09,Sat,Singapore,Breakfast Bagel Sausage Meal,7.70,146459.21,Value Meals,Breakfast Menu
7,2024/11/09,Sat,Singapore,Breakfast Bagel Meal,6.85,130291.63,Value Meals,Breakfast Menu
8,2024/11/09,Sat,Singapore,Chicken Bacon and Egg McMuffin® Meal,6.30,119830.26,Value Meals,Breakfast Menu
9,2024/11/09,Sat,Singapore,Sausage McMuffin® Meal,6.00,114124.06,Value Meals,Breakfast Menu
10,2024/11/09,Sat,Singapore,Chicken Muffin Meal,6.00,114124.06,Value Meals,Breakfast Menu
11,2024/11/09,Sat,Singapore,Egg McMuffin® Meal,6.30,119830.26,Value Meals,Breakfast Menu
12,2024/11/09,Sat,Singapore,Sausage Egg McMuffin® Meal,7.10,135046.80,Value Meals,Breakfast Menu
13,2024/11/09,Sat,Singapore,Breakfast Wrap Sausage Meal,8.20,155969.54,Value Meals,Breakfast Menu
14,2024/11/09,Sat,Singapore,Breakfast Wrap Chicken Ham Meal,8.00,152165.41,Value Meals,Breakfast Menu
15,2024/11/09,Sat,Singapore,Scrambled Egg Burger with Sausage Meal,7.20,136948.87,Value Meals,Breakfast Menu
16,2024/11/09,Sat,Singapore,Scrambled Egg Burger with Chicken Meal,7.20,136948.87,Value Meals,Breakfast Menu
17,2024/11/09,Sat,Singapore,Double Sausage McMuffin® Meal,7.40,140753.00,Value Meals,Breakfast Menu
18,2024/11/09,Sat,Singapore,Double Sausage Egg McMuffin® Meal,8.50,161675.75,Value Meals,Breakfast Menu
19,2024/11/09,Sat,Singapore,Chicken Muffin with Egg Meal,7.00,133144.73,Value Meals,Breakfast Menu
20,2024/11/09,Sat,Singapore,Breakfast Deluxe™ Meal,9.60,182598.49,Value Meals,Breakfast Menu
21,2024/11/09,Sat,Singapore,Big Breakfast® Meal,8.05,153116.44,Value Meals,Breakfast Menu
22,2024/11/09,Sat,Singapore,Hotcakes™ Meal,8.30,157871.61,Value Meals,Breakfast Menu
23,2024/11/09,Sat,Singapore,Hotcakes™ with Sausage Meal,8.95,170235.05,Value Meals,Breakfast Menu
24,2024/11/09,Sat,Singapore,Filet-O-Fish® Meal,7.60,144557.14,Value Meals,Breakfast Menu
25,2024/11/09,Sat,Singapore,Double Filet-O-Fish® Meal,10.00,190206.76,Value Meals,Breakfast Menu
26,2024/11/09,Sat,Singapore,Double Sausage Egg McMuffin® Meal,8.50,161675.75,Fan Favourites,Breakfast Menu
27,2024/11/09,Sat,Singapore,Double Sausage McMuffin® Meal,7.40,140753.00,Fan Favourites,Breakfast Menu
28,2024/11/09,Sat,Singapore,Breakfast Bagel (Saus/Ham) + Breakfast Deluxe™,16.30,310037.02,Happy Meal® and Family Meals,Breakfast Menu
29,2024/11/09,Sat,Singapore,Fam Meal: Breakfast Deluxe Meal + Sausage McMuffin® with Egg Meal + Hotcakes Happy Meal®,22.20,422259.01,Happy Meal® and Family Meals,Breakfast Menu
30,2024/11/09,Sat,Singapore,Scrambled Egg Burger Junior Happy Meal®,5.80,110319.92,Happy Meal® and Family Meals,Breakfast Menu
31,2024/11/09,Sat,Singapore,Breakfast Hotcakes (2pc) Happy Meal®,5.80,110319.92,Happy Meal® and Family Meals,Breakfast Menu
32,2024/11/09,Sat,Singapore,Breakfast Bagel Smoked Chicken Ham,5.80,110319.92,Ala Carte,Breakfast Menu
33,2024/11/09,Sat,Singapore,Breakfast Bagel Sausage,5.80,110319.92,Ala Carte,Breakfast Menu
34,2024/11/09,Sat,Singapore,Breakfast Bagel,4.85,92250.28,Ala Carte,Breakfast Menu
35,2024/11/09,Sat,Singapore,Chicken Bacon and Egg McMuffin®,5.20,98907.52,Ala Carte,Breakfast Menu
36,2024/11/09,Sat,Singapore,Sausage McMuffin®,4.30,81788.91,Ala Carte,Breakfast Menu
37,2024/11/09,Sat,Singapore,Chicken Muffin,4.30,81788.91,Ala Carte,Breakfast Menu
38,2024/11/09,Sat,Singapore,Egg McMuffin®,5.20,98907.52,Ala Carte,Breakfast Menu
39,2024/11/09,Sat,Singapore,Sausage Egg McMuffin®,5.30,100809.58,Ala Carte,Breakfast Menu
40,2024/11/09,Sat,Singapore,Breakfast Wrap Sausage,6.40,121732.33,Ala Carte,Breakfast Menu
41,2024/11/09,Sat,Singapore,Breakfast Wrap Chicken Ham,6.20,117928.19,Ala Carte,Breakfast Menu
42,2024/11/09,Sat,Singapore,Scrambled Egg Burger with Sausage,5.50,104613.72,Ala Carte,Breakfast Menu
43,2024/11/09,Sat,Singapore,Scrambled Egg Burger with Chicken,5.50,104613.72,Ala Carte,Breakfast Menu
44,2024/11/09,Sat,Singapore,Double Sausage McMuffin®,5.70,108417.85,Ala Carte,Breakfast Menu
45,2024/11/09,Sat,Singapore,Double Sausage Egg McMuffin®,6.70,127438.53,Ala Carte,Breakfast Menu
46,2024/11/09,Sat,Singapore,Chicken Muffin with Egg,5.20,98907.52,Ala Carte,Breakfast Menu
47,2024/11/09,Sat,Singapore,Breakfast Deluxe™,8.15,155018.51,Ala Carte,Breakfast Menu
48,2024/11/09,Sat,Singapore,Big Breakfast®,7.10,135046.80,Ala Carte,Breakfast Menu
49,2024/11/09,Sat,Singapore,Hotcakes™,6.30,119830.26,Ala Carte,Breakfast Menu
50,2024/11/09,Sat,Singapore,Hotcakes™ with Sausage,7.30,138850.93,Ala Carte,Breakfast Menu
51,2024/11/09,Sat,Singapore,Filet-O-Fish®,6.25,118879.22,Ala Carte,Breakfast Menu
52,2024/11/09,Sat,Singapore,Double Filet-O-Fish®,8.15,155018.51,Ala Carte,Breakfast Menu
53,2024/11/09,Sat,Singapore,Apple Pie,1.90,36139.28,Sides,Breakfast Menu
54,2024/11/09,Sat,Singapore,Hashbrown™,3.20,60866.16,Sides,Breakfast Menu
55,2024/11/09,Sat,Singapore,Apple Slices,2.30,43747.55,Sides,Breakfast Menu
56,2024/11/09,Sat,Singapore,Apple Pie,1.90,36139.28,Desserts,Breakfast Menu
57,2024/11/09,Sat,Singapore,Caramel Custard Frappé (S),5.25,99858.55,Drinks,Breakfast Menu
58,2024/11/09,Sat,Singapore,Caramel Custard Frappé (M),5.95,113173.02,Drinks,Breakfast Menu
59,2024/11/09,Sat,Singapore,Double Chocolate Frappé Small,4.75,90348.21,Drinks,Breakfast Menu
60,2024/11/09,Sat,Singapore,Double Chocolate Frappé Medium,5.30,100809.58,Drinks,Breakfast Menu
61,2024/11/09,Sat,Singapore,Mocha Frappé  With Oreo® Small,5.25,99858.55,Drinks,Breakfast Menu
62,2024/11/09,Sat,Singapore,Mocha Frappé  With Oreo® Medium,5.80,110319.92,Drinks,Breakfast Menu
63,2024/11/09,Sat,Singapore,Caramel Frappé with Oreo Small,5.25,99858.55,Drinks,Breakfast Menu
64,2024/11/09,Sat,Singapore,Caramel Frappé With Oreo Medium,5.80,110319.92,Drinks,Breakfast Menu
65,2024/11/09,Sat,Singapore,Mocha Frappé  Small,4.75,90348.21,Drinks,Breakfast Menu
66,2024/11/09,Sat,Singapore,Mocha Frappé Medium,5.30,100809.58,Drinks,Breakfast Menu
67,2024/11/09,Sat,Singapore,Caramel Frappé Small,4.75,90348.21,Drinks,Breakfast Menu
68,2024/11/09,Sat,Singapore,Caramel Frappé Medium,5.30,100809.58,Drinks,Breakfast Menu
69,2024/11/09,Sat,Singapore,Iced Milo® Small,4.50,85593.04,Drinks,Breakfast Menu
70,2024/11/09,Sat,Singapore,Iced Milo® Medium,4.70,89397.18,Drinks,Breakfast Menu
71,2024/11/09,Sat,Singapore,Jasmine Green Tea Small,4.30,81788.91,Drinks,Breakfast Menu
72,2024/11/09,Sat,Singapore,Jasmine Green Tea Medium,4.55,86544.08,Drinks,Breakfast Menu
73,2024/11/09,Sat,Singapore,Iced Lemon Tea Small,4.30,81788.91,Drinks,Breakfast Menu
74,2024/11/09,Sat,Singapore,Iced Lemon Tea Medium,4.55,86544.08,Drinks,Breakfast Menu
75,2024/11/09,Sat,Singapore,Iced Lemon Tea Large,4.75,90348.21,Drinks,Breakfast Menu
76,2024/11/09,Sat,Singapore,McCafé Cappuccino,4.50,85593.04,Drinks,Breakfast Menu
77,2024/11/09,Sat,Singapore,McCafé Latte,4.50,85593.04,Drinks,Breakfast Menu
78,2024/11/09,Sat,Singapore,McCafé Iced Latte (No Sugar),4.70,89397.18,Drinks,Breakfast Menu
79,2024/11/09,Sat,Singapore,McCafé Iced Latte (With Sugar Syrup),4.70,89397.18,Drinks,Breakfast Menu
80,2024/11/09,Sat,Singapore,Pure Orange Juice Small,4.60,87495.11,Drinks,Breakfast Menu
81,2024/11/09,Sat,Singapore,Kiyo Grape Juice,2.50,47551.69,Drinks,Breakfast Menu
82,2024/11/09,Sat,Singapore,McCafé Premium Roast Coffee Black,3.50,66572.37,Drinks,Breakfast Menu
83,2024/11/09,Sat,Singapore,McCafé Premium Roast Coffee with Milk,3.50,66572.37,Drinks,Breakfast Menu
84,2024/11/09,Sat,Singapore,Oatside Original Flavoured Oatmilk,3.20,60866.16,Drinks,Breakfast Menu
85,2024/11/09,Sat,Singapore,Oatside Chocolate Flavoured Oatmilk,3.20,60866.16,Drinks,Breakfast Menu
86,2024/11/09,Sat,Singapore,Hot Milo®,3.60,68474.43,Drinks,Breakfast Menu
87,2024/11/09,Sat,Singapore,"Low-fat, High-Calcium Milk",3.35,63719.26,Drinks,Breakfast Menu
88,2024/11/09,Sat,Singapore,Tea Black,3.50,66572.37,Drinks,Breakfast Menu
89,2024/11/09,Sat,Singapore,Tea with Milk,3.50,66572.37,Drinks,Breakfast Menu
90,2024/11/09,Sat,Singapore,Coke® Zero Sugar Small,3.50,66572.37,Drinks,Breakfast Menu
91,2024/11/09,Sat,Singapore,Coke® Zero Sugar Medium,4.20,79886.84,Drinks,Breakfast Menu
92,2024/11/09,Sat,Singapore,Coke® Zero Sugar Large,4.50,85593.04,Drinks,Breakfast Menu
93,2024/11/09,Sat,Singapore,Coke® Original Taste Less Sugar Small,3.50,66572.37,Drinks,Breakfast Menu
94,2024/11/09,Sat,Singapore,Coke® Original Taste Less Sugar Medium,4.20,79886.84,Drinks,Breakfast Menu
95,2024/11/09,Sat,Singapore,Coke® Original Taste Less Sugar Large,4.50,85593.04,Drinks,Breakfast Menu
96,2024/11/09,Sat,Singapore,Sprite® Small,3.50,66572.37,Drinks,Breakfast Menu
97,2024/11/09,Sat,Singapore,Sprite® Medium,4.20,79886.84,Drinks,Breakfast Menu
98,2024/11/09,Sat,Singapore,Sprite® Large,4.50,85593.04,Drinks,Breakfast Menu
99,2024/11/09,Sat,Singapore,Bottled Water,3.00,57062.03,Drinks,Breakfast Menu
