,Date,Day,Territory,Menu Item,Price (SGD),Price (VND),Category,Menu
1,2024/10/24,Thu,Singapore,Samurai Beef Burger® Special,10.00,192312.95,What's New,Regular Menu
2,2024/10/24,Thu,Singapore,Samurai Chicken Burger® Special,10.00,192312.95,What's New,Regular Menu
3,2024/10/24,Thu,Singapore,Tamago Samurai Beef Burger® Meal,9.45,181735.74,What's New,Regular Menu
4,2024/10/24,Thu,Singapore,Tamago Samurai Chicken Burger® Meal,9.45,181735.74,What's New,Regular Menu
5,2024/10/24,Thu,Singapore,Double Samurai Beef Burger® Upsized Meal,11.65,224044.59,What's New,Regular Menu
6,2024/10/24,Thu,Singapore,Double Samurai Chicken Burger® Upsized Meal,11.65,224044.59,What's New,Regular Menu
7,2024/10/24,Thu,Singapore,2xVM: Samurai Upsized Meal (Beef/Chicken),19.30,371163.99,What's New,Regular Menu
8,2024/10/24,Thu,Singapore,Seaweed McShaker™ Fries (L),4.90,94233.35,What's New,Regular Menu
9,2024/10/24,Thu,Singapore,Pineapple Twist Strawberry Sundae,2.95,56732.32,What's New,Regular Menu
10,2024/10/24,Thu,Singapore,Pineapple Twist OREO® McFlurry®,3.90,75002.05,What's New,Regular Menu
11,2024/10/24,Thu,Singapore,McSpicy® Upsized Meal + Apple Pie,12.00,230775.54,Value Deals for One,Regular Menu
12,2024/10/24,Thu,Singapore,McSpicy® Upsized Meal + Chicken McNuggets® (4pc),12.00,230775.54,Value Deals for One,Regular Menu
13,2024/10/24,Thu,Singapore,Double Filet-O-Fish® Upsized Meal + Apple Pie,12.00,230775.54,Value Deals for One,Regular Menu
14,2024/10/24,Thu,Singapore,Double Filet-O-Fish® Upsized Meal + Chicken McNuggets® (4pc),12.00,230775.54,Value Deals for One,Regular Menu
15,2024/10/24,Thu,Singapore,Quarter Pounder® with Cheese Upsized Meal + Apple Pie,12.00,230775.54,Value Deals for One,Regular Menu
16,2024/10/24,Thu,Singapore,Quarter Pounder® with Cheese Upsized Meal + Chicken McNuggets® (4pc),12.00,230775.54,Value Deals for One,Regular Menu
17,2024/10/24,Thu,Singapore,Samurai Beef Burger® Special,10.00,192312.95,Upsized Value Meals,Regular Menu
18,2024/10/24,Thu,Singapore,Samurai Chicken Burger® Special,10.00,192312.95,Upsized Value Meals,Regular Menu
19,2024/10/24,Thu,Singapore,Tamago Samurai Beef Burger® Upsized Meal,10.65,204813.29,Upsized Value Meals,Regular Menu
20,2024/10/24,Thu,Singapore,Tamago Samurai Chicken Burger® Upsized Meal,10.65,204813.29,Upsized Value Meals,Regular Menu
21,2024/10/24,Thu,Singapore,Double Samurai Beef Burger® Upsized Meal,11.65,224044.59,Upsized Value Meals,Regular Menu
22,2024/10/24,Thu,Singapore,Double Samurai Chicken Burger® Upsized Meal,11.65,224044.59,Upsized Value Meals,Regular Menu
23,2024/10/24,Thu,Singapore,Samurai Beef Burger® Upsized Meal,9.65,185582.00,Upsized Value Meals,Regular Menu
24,2024/10/24,Thu,Singapore,Samurai Chicken Burger® Upsized Meal,9.65,185582.00,Upsized Value Meals,Regular Menu
25,2024/10/24,Thu,Singapore,McSpicy® Upsized Meal,10.95,210582.68,Upsized Value Meals,Regular Menu
26,2024/10/24,Thu,Singapore,McSpicy® with Cheese Upsized Meal,12.25,235583.36,Upsized Value Meals,Regular Menu
27,2024/10/24,Thu,Singapore,Double McSpicy® with Cheese Upsized Meal,13.45,258660.92,Upsized Value Meals,Regular Menu
28,2024/10/24,Thu,Singapore,Double McSpicy® Upsized Meal,12.15,233660.23,Upsized Value Meals,Regular Menu
