,Date,Day,Territory,Menu Item,Price (SGD),Price (VND),Category,Menu
1,2025/01/31,Fri,Singapore,Prosperity Waffles Platter,8.65,160732.52,What's New,Breakfast Menu
2,2025/01/31,Fri,Singapore,Prosperity Waffles Platter Meal,10.30,191392.48,What's New,Breakfast Menu
3,2025/01/31,Fri,Singapore,McMuffin Stack,7.90,146796.17,What's New,Breakfast Menu
4,2025/01/31,Fri,Singapore,McMuffin Stack Meal,9.70,180243.40,What's New,Breakfast Menu
5,2025/01/31,Fri,Singapore,McMuffin Stack,7.90,146796.17,Burgers & Muffins,Breakfast Menu
6,2025/01/31,Fri,Singapore,McMuffin Stack Meal,9.70,180243.40,Burgers & Muffins,Breakfast Menu
7,2025/01/31,Fri,Singapore,Double Sausage Egg McMuffin®,6.70,124498.02,Burgers & Muffins,Breakfast Menu
8,2025/01/31,Fri,Singapore,Double Sausage Egg McMuffin® Meal,8.50,157945.25,Burgers & Muffins,Breakfast Menu
9,2025/01/31,Fri,Singapore,Sausage Egg McMuffin®,5.30,98483.51,Burgers & Muffins,Breakfast Menu
10,2025/01/31,Fri,Singapore,Sausage Egg McMuffin® Meal,7.10,131930.74,Burgers & Muffins,Breakfast Menu
11,2025/01/31,Fri,Singapore,Double Sausage McMuffin®,5.70,105916.23,Burgers & Muffins,Breakfast Menu
12,2025/01/31,Fri,Singapore,Double Sausage McMuffin® Meal,7.40,137505.28,Burgers & Muffins,Breakfast Menu
13,2025/01/31,Fri,Singapore,Scrambled Egg Burger with Sausage,5.50,102199.87,Burgers & Muffins,Breakfast Menu
14,2025/01/31,Fri,Singapore,Scrambled Egg Burger with Sausage Meal,7.20,133788.92,Burgers & Muffins,Breakfast Menu
15,2025/01/31,Fri,Singapore,Scrambled Egg Burger with Chicken,5.50,102199.87,Burgers & Muffins,Breakfast Menu
16,2025/01/31,Fri,Singapore,Scrambled Egg Burger with Chicken Meal,7.20,133788.92,Burgers & Muffins,Breakfast Menu
17,2025/01/31,Fri,Singapore,Double Filet-O-Fish®,8.15,151441.62,Burgers & Muffins,Breakfast Menu
18,2025/01/31,Fri,Singapore,Double Filet-O-Fish® Meal,10.00,185817.94,Burgers & Muffins,Breakfast Menu
19,2025/01/31,Fri,Singapore,Filet-O-Fish®,6.25,116136.21,Burgers & Muffins,Breakfast Menu
20,2025/01/31,Fri,Singapore,Filet-O-Fish® Meal,7.60,141221.63,Burgers & Muffins,Breakfast Menu
21,2025/01/31,Fri,Singapore,Chicken Muffin with Egg,5.20,96625.33,Burgers & Muffins,Breakfast Menu
22,2025/01/31,Fri,Singapore,Chicken Muffin with Egg Meal,7.00,130072.56,Burgers & Muffins,Breakfast Menu
23,2025/01/31,Fri,Singapore,Chicken Bacon and Egg McMuffin®,5.20,96625.33,Burgers & Muffins,Breakfast Menu
