,Date,Day,Territory,Menu Item,Price (SGD),Price (VND),Category,Menu
1,2025/02/06,Thu,Singapore,Breakfast Deluxe,8.15,152082.46,What's New,Breakfast Menu
2,2025/02/06,Thu,Singapore,Breakfast Deluxe Meal,9.60,179140.07,What's New,Breakfast Menu
3,2025/02/06,Thu,Singapore,McMuffin Stack,7.90,147417.35,What's New,Breakfast Menu
4,2025/02/06,Thu,Singapore,McMuffin Stack Meal,9.70,181006.11,What's New,Breakfast Menu
5,2025/02/06,Thu,Singapore,Potato Pops,5.70,106364.42,What's New,Breakfast Menu
6,2025/02/06,Thu,Singapore,McMuffin Stack,7.90,147417.35,Burgers & Muffins,Breakfast Menu
7,2025/02/06,Thu,Singapore,McMuffin Stack Meal,9.70,181006.11,Burgers & Muffins,Breakfast Menu
8,2025/02/06,Thu,Singapore,Double Sausage Egg McMuffin®,6.70,125024.84,Burgers & Muffins,Breakfast Menu
9,2025/02/06,Thu,Singapore,Double Sausage Egg McMuffin® Meal,8.50,158613.60,Burgers & Muffins,Breakfast Menu
10,2025/02/06,Thu,Singapore,Sausage Egg McMuffin®,5.30,98900.25,Burgers & Muffins,Breakfast Menu
11,2025/02/06,Thu,Singapore,Sausage Egg McMuffin® Meal,7.10,132489.01,Burgers & Muffins,Breakfast Menu
12,2025/02/06,Thu,Singapore,Double Sausage McMuffin®,5.70,106364.42,Burgers & Muffins,Breakfast Menu
13,2025/02/06,Thu,Singapore,Double Sausage McMuffin® Meal,7.40,138087.14,Burgers & Muffins,Breakfast Menu
14,2025/02/06,Thu,Singapore,Scrambled Egg Burger with Sausage,5.50,102632.33,Burgers & Muffins,Breakfast Menu
15,2025/02/06,Thu,Singapore,Scrambled Egg Burger with Sausage Meal,7.20,134355.05,Burgers & Muffins,Breakfast Menu
16,2025/02/06,Thu,Singapore,Scrambled Egg Burger with Chicken,5.50,102632.33,Burgers & Muffins,Breakfast Menu
17,2025/02/06,Thu,Singapore,Scrambled Egg Burger with Chicken Meal,7.20,134355.05,Burgers & Muffins,Breakfast Menu
18,2025/02/06,Thu,Singapore,Double Filet-O-Fish®,8.15,152082.46,Burgers & Muffins,Breakfast Menu
19,2025/02/06,Thu,Singapore,Double Filet-O-Fish® Meal,10.00,186604.24,Burgers & Muffins,Breakfast Menu
20,2025/02/06,Thu,Singapore,Filet-O-Fish®,6.25,116627.65,Burgers & Muffins,Breakfast Menu
21,2025/02/06,Thu,Singapore,Filet-O-Fish® Meal,7.60,141819.22,Burgers & Muffins,Breakfast Menu
22,2025/02/06,Thu,Singapore,Chicken Muffin with Egg,5.20,97034.20,Burgers & Muffins,Breakfast Menu
23,2025/02/06,Thu,Singapore,Chicken Muffin with Egg Meal,7.00,130622.97,Burgers & Muffins,Breakfast Menu
24,2025/02/06,Thu,Singapore,Chicken Bacon and Egg McMuffin®,5.20,97034.20,Burgers & Muffins,Breakfast Menu
25,2025/02/06,Thu,Singapore,Chicken Bacon and Egg McMuffin® Meal,6.30,117560.67,Burgers & Muffins,Breakfast Menu
26,2025/02/06,Thu,Singapore,Sausage McMuffin®,4.30,80239.82,Burgers & Muffins,Breakfast Menu
27,2025/02/06,Thu,Singapore,Sausage McMuffin® Meal,6.00,111962.54,Burgers & Muffins,Breakfast Menu
28,2025/02/06,Thu,Singapore,Chicken Muffin,4.30,80239.82,Burgers & Muffins,Breakfast Menu
29,2025/02/06,Thu,Singapore,Chicken Muffin Meal,6.00,111962.54,Burgers & Muffins,Breakfast Menu
30,2025/02/06,Thu,Singapore,Egg McMuffin®,5.20,97034.20,Burgers & Muffins,Breakfast Menu
31,2025/02/06,Thu,Singapore,Egg McMuffin® Meal,6.30,117560.67,Burgers & Muffins,Breakfast Menu
32,2025/02/06,Thu,Singapore,Breakfast Deluxe,8.15,152082.46,Platters,Breakfast Menu
33,2025/02/06,Thu,Singapore,Breakfast Deluxe Meal,9.60,179140.07,Platters,Breakfast Menu
34,2025/02/06,Thu,Singapore,Big Breakfast®,7.10,132489.01,Platters,Breakfast Menu
35,2025/02/06,Thu,Singapore,Big Breakfast® Meal,8.05,150216.41,Platters,Breakfast Menu
36,2025/02/06,Thu,Singapore,Hotcakes with Sausage,7.30,136221.10,Platters,Breakfast Menu
37,2025/02/06,Thu,Singapore,Hotcakes with Sausage Meal,8.95,167010.79,Platters,Breakfast Menu
38,2025/02/06,Thu,Singapore,Hotcakes,6.30,117560.67,Platters,Breakfast Menu
39,2025/02/06,Thu,Singapore,Hotcakes Meal,8.30,154881.52,Platters,Breakfast Menu
