,Date,Day,Territory,Menu Item,Price (SGD),Price (VND),Category,Menu
1,2025/02/12,Wed,Singapore,Lohei Treasure Box,28.80,542928.50,What's New,Regular Menu
2,2025/02/12,Wed,Singapore,Mala Chicken McCrispy® (2pc),7.80,147043.14,What's New,Regular Menu
3,2025/02/12,Wed,Singapore,Mala Chicken McCrispy® (2pc) Meal,10.25,193229.76,What's New,Regular Menu
4,2025/02/12,Wed,Singapore,Mala Chicken McCrispy® (2pc) Upsized Meal,11.45,215851.78,What's New,Regular Menu
5,2025/02/12,Wed,Singapore,Mala Chicken McCrispy® (2pc) Upsized Feast,13.35,251669.98,What's New,Regular Menu
6,2025/02/12,Wed,Singapore,Mala Chicken McCrispy® (6pc),19.95,376091.10,What's New,Regular Menu
7,2025/02/12,Wed,Singapore,Mala Chicken McCrispy® (6pc) Value Bundle,22.95,432646.15,What's New,Regular Menu
8,2025/02/12,Wed,Singapore,Prosperity Twister Fries™ (M),5.70,107454.60,What's New,Regular Menu
9,2025/02/12,Wed,Singapore,Prosperity Twister Fries™ (L),5.90,111224.94,What's New,Regular Menu
10,2025/02/12,Wed,Singapore,Triple Cheeseburger,8.80,165894.82,Burgers,Regular Menu
11,2025/02/12,Wed,Singapore,Triple Cheeseburger Meal,10.45,197000.10,Burgers,Regular Menu
12,2025/02/12,Wed,Singapore,Triple Cheeseburger Upsized Meal,11.65,219622.12,Burgers,Regular Menu
13,2025/02/12,Wed,Singapore,McSpicy® with Cheese,8.60,162124.48,Burgers,Regular Menu
14,2025/02/12,Wed,Singapore,McSpicy® with Cheese Meal,11.05,208311.11,Burgers,Regular Menu
15,2025/02/12,Wed,Singapore,McSpicy® with Cheese Upsized Meal,12.25,230933.13,Burgers,Regular Menu
16,2025/02/12,Wed,Singapore,McSpicy®,7.30,137617.29,Burgers,Regular Menu
17,2025/02/12,Wed,Singapore,McSpicy® Meal,9.75,183803.92,Burgers,Regular Menu
18,2025/02/12,Wed,Singapore,McSpicy® Upsized Meal,10.95,206425.94,Burgers,Regular Menu
19,2025/02/12,Wed,Singapore,Double McSpicy® with Cheese,10.20,192287.18,Burgers,Regular Menu
20,2025/02/12,Wed,Singapore,Double McSpicy® with Cheese Meal,12.25,230933.13,Burgers,Regular Menu
21,2025/02/12,Wed,Singapore,Double McSpicy® with Cheese Upsized Meal,13.45,253555.15,Burgers,Regular Menu
22,2025/02/12,Wed,Singapore,Double McSpicy®,8.90,167779.99,Burgers,Regular Menu
23,2025/02/12,Wed,Singapore,Double McSpicy® Meal,10.95,206425.94,Burgers,Regular Menu
24,2025/02/12,Wed,Singapore,Double McSpicy® Upsized Meal,12.15,229047.96,Burgers,Regular Menu
25,2025/02/12,Wed,Singapore,Buttermilk Crispy Chicken,8.90,167779.99,Burgers,Regular Menu
26,2025/02/12,Wed,Singapore,Buttermilk Crispy Chicken Meal,11.25,212081.45,Burgers,Regular Menu
27,2025/02/12,Wed,Singapore,Buttermilk Crispy Chicken Upsized Meal,12.45,234703.47,Burgers,Regular Menu
28,2025/02/12,Wed,Singapore,Double Cheeseburger,6.35,119708.19,Burgers,Regular Menu
29,2025/02/12,Wed,Singapore,Double Cheeseburger Meal,8.30,156468.98,Burgers,Regular Menu
30,2025/02/12,Wed,Singapore,Double Cheeseburger Upsized Meal,9.50,179091.00,Burgers,Regular Menu
31,2025/02/12,Wed,Singapore,Big Mac®,7.60,143272.80,Burgers,Regular Menu
32,2025/02/12,Wed,Singapore,Big Mac® Meal,10.15,191344.59,Burgers,Regular Menu
33,2025/02/12,Wed,Singapore,Big Mac® Upsized Meal,11.35,213966.61,Burgers,Regular Menu
34,2025/02/12,Wed,Singapore,Double Quarter Pounder® with Cheese,9.90,186631.67,Burgers,Regular Menu
35,2025/02/12,Wed,Singapore,Dbl Quarter Pounder® with Cheese Meal,11.80,222449.87,Burgers,Regular Menu
36,2025/02/12,Wed,Singapore,Dbl Quarter Pounder® with Cheese Upsized Meal,13.00,245071.89,Burgers,Regular Menu
37,2025/02/12,Wed,Singapore,Quarter Pounder® with Cheese,8.20,154583.81,Burgers,Regular Menu
38,2025/02/12,Wed,Singapore,Quarter Pounder® with Cheese Meal,10.15,191344.59,Burgers,Regular Menu
39,2025/02/12,Wed,Singapore,Quarter Pounder® with Cheese Upsized Meal,11.35,213966.61,Burgers,Regular Menu
40,2025/02/12,Wed,Singapore,Double Filet-O-Fish®,8.15,153641.22,Burgers,Regular Menu
41,2025/02/12,Wed,Singapore,Double Filet-O-Fish® Meal,10.20,192287.18,Burgers,Regular Menu
42,2025/02/12,Wed,Singapore,Double Filet-O-Fish® Upsized Meal,11.40,214909.20,Burgers,Regular Menu
43,2025/02/12,Wed,Singapore,Filet-O-Fish®,6.25,117823.03,Burgers,Regular Menu
44,2025/02/12,Wed,Singapore,Filet-O-Fish® Meal,7.45,140445.05,Burgers,Regular Menu
45,2025/02/12,Wed,Singapore,Filet-O-Fish® Upsized Meal,8.65,163067.07,Burgers,Regular Menu
46,2025/02/12,Wed,Singapore,McChicken® with Cheese,6.60,124421.11,Burgers,Regular Menu
47,2025/02/12,Wed,Singapore,McChicken® with Cheese Meal,8.75,164952.24,Burgers,Regular Menu
48,2025/02/12,Wed,Singapore,McChicken® with Cheese Upsized Meal,9.95,187574.26,Burgers,Regular Menu
49,2025/02/12,Wed,Singapore,McChicken®,5.30,99913.93,Burgers,Regular Menu
50,2025/02/12,Wed,Singapore,McChicken® Meal,7.45,140445.05,Burgers,Regular Menu
51,2025/02/12,Wed,Singapore,McChicken® Upsized Meal,8.65,163067.07,Burgers,Regular Menu
52,2025/02/12,Wed,Singapore,Cheeseburger,4.50,84832.58,Burgers,Regular Menu
53,2025/02/12,Wed,Singapore,Hamburger,3.50,65980.89,Burgers,Regular Menu
54,2025/02/12,Wed,Singapore,Chicken McNuggets® (20pc),14.95,281832.68,McNuggets® & McWings,Regular Menu
55,2025/02/12,Wed,Singapore,Chicken McNuggets® (9pc),7.80,147043.14,McNuggets® & McWings,Regular Menu
56,2025/02/12,Wed,Singapore,McNuggets® (9pc) Meal,9.90,186631.67,McNuggets® & McWings,Regular Menu
57,2025/02/12,Wed,Singapore,McNuggets® (9pc) Upsized Meal,11.10,209253.69,McNuggets® & McWings,Regular Menu
58,2025/02/12,Wed,Singapore,Chicken McNuggets® (6pc),6.35,119708.19,McNuggets® & McWings,Regular Menu
59,2025/02/12,Wed,Singapore,McNuggets® (6pc) Meal,8.40,158354.15,McNuggets® & McWings,Regular Menu
60,2025/02/12,Wed,Singapore,McNuggets® (6pc) Upsized Meal,9.60,180976.17,McNuggets® & McWings,Regular Menu
61,2025/02/12,Wed,Singapore,McWings® (4pc),6.40,120650.78,McNuggets® & McWings,Regular Menu
62,2025/02/12,Wed,Singapore,McWings® (4pc) Meal,8.15,153641.22,McNuggets® & McWings,Regular Menu
63,2025/02/12,Wed,Singapore,McWings® (4pc) Upsized Meal,9.35,176263.25,McNuggets® & McWings,Regular Menu
