,Date,Day,Territory,Menu Item,Price (SGD),Price (VND),Category,Menu
1,2025/02/17,Mon,Singapore,Sausage McGriddles® Stack,8.00,151559.82,What's New,Breakfast Menu
2,2025/02/17,Mon,Singapore,Sausage McGriddles® Stack x MILO® Special,10.00,189449.77,What's New,Breakfast Menu
3,2025/02/17,Mon,Singapore,Sausage McGriddles® Stack Meal,9.00,170504.79,What's New,Breakfast Menu
4,2025/02/17,Mon,Singapore,Sausage McGriddles® with Egg,6.70,126931.35,What's New,Breakfast Menu
5,2025/02/17,Mon,Singapore,Sausage McGriddles® with Egg x MILO® Special,8.90,168610.30,What's New,Breakfast Menu
6,2025/02/17,Mon,Singapore,Sausage McGriddles® with Egg Meal,7.90,149665.32,What's New,Breakfast Menu
7,2025/02/17,Mon,Singapore,Chicken McGriddles® with Egg,6.70,126931.35,What's New,Breakfast Menu
8,2025/02/17,Mon,Singapore,Chicken McGriddles® with Egg x MILO® Special,8.90,168610.30,What's New,Breakfast Menu
9,2025/02/17,Mon,Singapore,Chicken McGriddles® with Egg Meal,7.90,149665.32,What's New,Breakfast Menu
10,2025/02/17,Mon,Singapore,Sausage McGriddles®,5.80,109880.87,What's New,Breakfast Menu
11,2025/02/17,Mon,Singapore,Sausage McGriddles® x MILO® Special,8.00,151559.82,What's New,Breakfast Menu
12,2025/02/17,Mon,Singapore,Sausage McGriddles® Meal,7.00,132614.84,What's New,Breakfast Menu
13,2025/02/17,Mon,Singapore,Potato Pops,5.70,107986.37,What's New,Breakfast Menu
14,2025/02/17,Mon,Singapore,Ovaltine® McFlurry®,4.10,77674.41,What's New,Breakfast Menu
15,2025/02/17,Mon,Singapore,Sausage McGriddles® Stack,8.00,151559.82,Burgers & Muffins,Breakfast Menu
16,2025/02/17,Mon,Singapore,Sausage McGriddles® Stack x MILO® Special,10.00,189449.77,Burgers & Muffins,Breakfast Menu
17,2025/02/17,Mon,Singapore,Sausage McGriddles® Stack Meal,9.00,170504.79,Burgers & Muffins,Breakfast Menu
18,2025/02/17,Mon,Singapore,Sausage McGriddles® with Egg,6.70,126931.35,Burgers & Muffins,Breakfast Menu
19,2025/02/17,Mon,Singapore,Sausage McGriddles® with Egg x MILO® Special,8.90,168610.30,Burgers & Muffins,Breakfast Menu
20,2025/02/17,Mon,Singapore,Sausage McGriddles® with Egg Meal,7.90,149665.32,Burgers & Muffins,Breakfast Menu
21,2025/02/17,Mon,Singapore,Chicken McGriddles® with Egg,6.70,126931.35,Burgers & Muffins,Breakfast Menu
22,2025/02/17,Mon,Singapore,Chicken McGriddles® with Egg x MILO® Special,8.90,168610.30,Burgers & Muffins,Breakfast Menu
23,2025/02/17,Mon,Singapore,Chicken McGriddles® with Egg Meal,7.90,149665.32,Burgers & Muffins,Breakfast Menu
24,2025/02/17,Mon,Singapore,Sausage McGriddles®,5.80,109880.87,Burgers & Muffins,Breakfast Menu
25,2025/02/17,Mon,Singapore,Sausage McGriddles® x MILO® Special,8.00,151559.82,Burgers & Muffins,Breakfast Menu
26,2025/02/17,Mon,Singapore,Sausage McGriddles® Meal,7.00,132614.84,Burgers & Muffins,Breakfast Menu
27,2025/02/17,Mon,Singapore,Double Sausage Egg McMuffin®,6.70,126931.35,Burgers & Muffins,Breakfast Menu
28,2025/02/17,Mon,Singapore,Double Sausage Egg McMuffin® Meal,8.50,161032.30,Burgers & Muffins,Breakfast Menu
29,2025/02/17,Mon,Singapore,Sausage Egg McMuffin®,5.30,100408.38,Burgers & Muffins,Breakfast Menu
30,2025/02/17,Mon,Singapore,Sausage Egg McMuffin® Meal,7.10,134509.34,Burgers & Muffins,Breakfast Menu
31,2025/02/17,Mon,Singapore,Double Sausage McMuffin®,5.70,107986.37,Burgers & Muffins,Breakfast Menu
32,2025/02/17,Mon,Singapore,Double Sausage McMuffin® Meal,7.40,140192.83,Burgers & Muffins,Breakfast Menu
33,2025/02/17,Mon,Singapore,Scrambled Egg Burger with Sausage,5.50,104197.37,Burgers & Muffins,Breakfast Menu
34,2025/02/17,Mon,Singapore,Scrambled Egg Burger with Sausage Meal,7.20,136403.83,Burgers & Muffins,Breakfast Menu
35,2025/02/17,Mon,Singapore,Scrambled Egg Burger with Chicken,5.50,104197.37,Burgers & Muffins,Breakfast Menu
36,2025/02/17,Mon,Singapore,Scrambled Egg Burger with Chicken Meal,7.20,136403.83,Burgers & Muffins,Breakfast Menu
37,2025/02/17,Mon,Singapore,Double Filet-O-Fish®,8.15,154401.56,Burgers & Muffins,Breakfast Menu
38,2025/02/17,Mon,Singapore,Double Filet-O-Fish® Meal,10.00,189449.77,Burgers & Muffins,Breakfast Menu
39,2025/02/17,Mon,Singapore,Filet-O-Fish®,6.25,118406.11,Burgers & Muffins,Breakfast Menu
40,2025/02/17,Mon,Singapore,Filet-O-Fish® Meal,7.60,143981.83,Burgers & Muffins,Breakfast Menu
41,2025/02/17,Mon,Singapore,Chicken Muffin with Egg,5.20,98513.88,Burgers & Muffins,Breakfast Menu
42,2025/02/17,Mon,Singapore,Chicken Muffin with Egg Meal,7.00,132614.84,Burgers & Muffins,Breakfast Menu
43,2025/02/17,Mon,Singapore,Chicken Bacon and Egg McMuffin®,5.20,98513.88,Burgers & Muffins,Breakfast Menu
44,2025/02/17,Mon,Singapore,Chicken Bacon and Egg McMuffin® Meal,6.30,119353.36,Burgers & Muffins,Breakfast Menu
45,2025/02/17,Mon,Singapore,Sausage McMuffin®,4.30,81463.40,Burgers & Muffins,Breakfast Menu
46,2025/02/17,Mon,Singapore,Sausage McMuffin® Meal,6.00,113669.86,Burgers & Muffins,Breakfast Menu
