,Date,Day,Territory,Menu Item,Price (SGD),Price (VND),Category,Menu
1,2024/11/25,Mon,Singapore,Breakfast Bagel Smoked Chicken Ham Meal,7.70,145558.67,What's New,Breakfast Menu
2,2024/11/25,Mon,Singapore,Breakfast Bagel Sausage Meal,7.70,145558.67,What's New,Breakfast Menu
3,2024/11/25,Mon,Singapore,Breakfast Bagel Meal,6.85,129490.50,What's New,Breakfast Menu
4,2024/11/25,Mon,Singapore,Breakfast Bagel (Saus/Ham) + Breakfast Deluxe™,16.30,308130.68,What's New,Breakfast Menu
5,2024/11/25,Mon,Singapore,Potato Pops,5.70,107751.22,What's New,Breakfast Menu
6,2024/11/25,Mon,Singapore,Breakfast Bagel Smoked Chicken Ham Meal,7.70,145558.67,Value Meals,Breakfast Menu
7,2024/11/25,Mon,Singapore,Breakfast Bagel Sausage Meal,7.70,145558.67,Value Meals,Breakfast Menu
8,2024/11/25,Mon,Singapore,Breakfast Bagel Meal,6.85,129490.50,Value Meals,Breakfast Menu
9,2024/11/25,Mon,Singapore,Chicken Bacon and Egg McMuffin® Meal,6.30,119093.45,Value Meals,Breakfast Menu
10,2024/11/25,Mon,Singapore,Sausage McMuffin® Meal,6.00,113422.34,Value Meals,Breakfast Menu
11,2024/11/25,Mon,Singapore,Chicken Muffin Meal,6.00,113422.34,Value Meals,Breakfast Menu
12,2024/11/25,Mon,Singapore,Egg McMuffin® Meal,6.30,119093.45,Value Meals,Breakfast Menu
13,2024/11/25,Mon,Singapore,Sausage Egg McMuffin® Meal,7.10,134216.43,Value Meals,Breakfast Menu
14,2024/11/25,Mon,Singapore,Breakfast Wrap Sausage Meal,8.20,155010.53,Value Meals,Breakfast Menu
15,2024/11/25,Mon,Singapore,Breakfast Wrap Chicken Ham Meal,8.00,151229.78,Value Meals,Breakfast Menu
16,2024/11/25,Mon,Singapore,Scrambled Egg Burger with Sausage Meal,7.20,136106.81,Value Meals,Breakfast Menu
17,2024/11/25,Mon,Singapore,Scrambled Egg Burger with Chicken Meal,7.20,136106.81,Value Meals,Breakfast Menu
18,2024/11/25,Mon,Singapore,Double Sausage McMuffin® Meal,7.40,139887.55,Value Meals,Breakfast Menu
19,2024/11/25,Mon,Singapore,Double Sausage Egg McMuffin® Meal,8.50,160681.65,Value Meals,Breakfast Menu
20,2024/11/25,Mon,Singapore,Chicken Muffin with Egg Meal,7.00,132326.06,Value Meals,Breakfast Menu
21,2024/11/25,Mon,Singapore,Breakfast Deluxe™ Meal,9.60,181475.74,Value Meals,Breakfast Menu
22,2024/11/25,Mon,Singapore,Big Breakfast® Meal,8.05,152174.97,Value Meals,Breakfast Menu
23,2024/11/25,Mon,Singapore,Hotcakes™ Meal,8.30,156900.90,Value Meals,Breakfast Menu
24,2024/11/25,Mon,Singapore,Hotcakes™ with Sausage Meal,8.95,169188.32,Value Meals,Breakfast Menu
25,2024/11/25,Mon,Singapore,Filet-O-Fish® Meal,7.60,143668.29,Value Meals,Breakfast Menu
26,2024/11/25,Mon,Singapore,Double Filet-O-Fish® Meal,10.00,189037.23,Value Meals,Breakfast Menu
27,2024/11/25,Mon,Singapore,Double Sausage Egg McMuffin® Meal,8.50,160681.65,Fan Favourites,Breakfast Menu
28,2024/11/25,Mon,Singapore,Double Sausage McMuffin® Meal,7.40,139887.55,Fan Favourites,Breakfast Menu
