,Date,Day,Territory,Menu Item,Price (SGD),Price (VND),Category,Menu
1,2024/12/28,Sat,Singapore,Belgian Waffles Platter,7.80,146096.18,What's New,Breakfast Menu
2,2024/12/28,Sat,Singapore,Belgian Waffles Platter Meal,9.00,168572.52,What's New,Breakfast Menu
3,2024/12/28,Sat,Singapore,2xVM: Belgian Waffles Platter EVM + SME EVM,15.75,295001.91,What's New,Breakfast Menu
4,2024/12/28,Sat,Singapore,2xVM: Belgian Waffles Platter EVM + CME EVM,15.65,293128.88,What's New,Breakfast Menu
5,2024/12/28,Sat,Singapore,Chicken Bacon and Egg McMuffin®,5.20,97397.46,Burgers & Muffins,Breakfast Menu
6,2024/12/28,Sat,Singapore,Chicken Bacon and Egg McMuffin® Meal,6.30,118000.76,Burgers & Muffins,Breakfast Menu
7,2024/12/28,Sat,Singapore,Double Sausage Egg McMuffin®,6.70,125492.88,Burgers & Muffins,Breakfast Menu
8,2024/12/28,Sat,Singapore,Double Sausage Egg McMuffin® Meal,8.50,159207.38,Burgers & Muffins,Breakfast Menu
9,2024/12/28,Sat,Singapore,Sausage Egg McMuffin®,5.30,99270.48,Burgers & Muffins,Breakfast Menu
10,2024/12/28,Sat,Singapore,Sausage Egg McMuffin® Meal,7.10,132984.99,Burgers & Muffins,Breakfast Menu
11,2024/12/28,Sat,Singapore,Double Sausage McMuffin®,5.70,106762.60,Burgers & Muffins,Breakfast Menu
12,2024/12/28,Sat,Singapore,Double Sausage McMuffin® Meal,7.40,138604.07,Burgers & Muffins,Breakfast Menu
13,2024/12/28,Sat,Singapore,Scrambled Egg Burger with Sausage,5.50,103016.54,Burgers & Muffins,Breakfast Menu
14,2024/12/28,Sat,Singapore,Scrambled Egg Burger with Sausage Meal,7.20,134858.02,Burgers & Muffins,Breakfast Menu
15,2024/12/28,Sat,Singapore,Scrambled Egg Burger with Chicken,5.50,103016.54,Burgers & Muffins,Breakfast Menu
16,2024/12/28,Sat,Singapore,Scrambled Egg Burger with Chicken Meal,7.20,134858.02,Burgers & Muffins,Breakfast Menu
17,2024/12/28,Sat,Singapore,Double Filet-O-Fish®,8.15,152651.78,Burgers & Muffins,Breakfast Menu
18,2024/12/28,Sat,Singapore,Double Filet-O-Fish® Meal,10.00,187302.80,Burgers & Muffins,Breakfast Menu
19,2024/12/28,Sat,Singapore,Filet-O-Fish®,6.25,117064.25,Burgers & Muffins,Breakfast Menu
20,2024/12/28,Sat,Singapore,Filet-O-Fish® Meal,7.60,142350.13,Burgers & Muffins,Breakfast Menu
21,2024/12/28,Sat,Singapore,Chicken Muffin with Egg,5.20,97397.46,Burgers & Muffins,Breakfast Menu
22,2024/12/28,Sat,Singapore,Chicken Muffin with Egg Meal,7.00,131111.96,Burgers & Muffins,Breakfast Menu
23,2024/12/28,Sat,Singapore,Sausage McMuffin®,4.30,80540.20,Burgers & Muffins,Breakfast Menu
