,Date,Day,Territory,Menu Item,Price (SGD),Price (VND),Category,Menu
1,2024/12/08,Sun,Singapore,Belgian Waffles Platter,7.80,147486.05,What's New,Breakfast Menu
2,2024/12/08,Sun,Singapore,Belgian Waffles Platter Meal,9.00,170176.21,What's New,Breakfast Menu
3,2024/12/08,Sun,Singapore,2xVM: Belgian Waffles Platter EVM + SME EVM,15.75,297808.37,What's New,Breakfast Menu
4,2024/12/08,Sun,Singapore,2xVM: Belgian Waffles Platter EVM + CME EVM,15.65,295917.52,What's New,Breakfast Menu
5,2024/12/08,Sun,Singapore,Potato Pops,5.70,107778.27,What's New,Breakfast Menu
6,2024/12/08,Sun,Singapore,Chicken Bacon and Egg McMuffin®,5.20,98324.03,Burgers & Muffins,Breakfast Menu
7,2024/12/08,Sun,Singapore,Chicken Bacon and Egg McMuffin® Meal,6.30,119123.35,Burgers & Muffins,Breakfast Menu
8,2024/12/08,Sun,Singapore,Double Sausage Egg McMuffin®,6.70,126686.74,Burgers & Muffins,Breakfast Menu
9,2024/12/08,Sun,Singapore,Double Sausage Egg McMuffin® Meal,8.50,160721.98,Burgers & Muffins,Breakfast Menu
10,2024/12/08,Sun,Singapore,Sausage Egg McMuffin®,5.30,100214.88,Burgers & Muffins,Breakfast Menu
11,2024/12/08,Sun,Singapore,Sausage Egg McMuffin® Meal,7.10,134250.12,Burgers & Muffins,Breakfast Menu
12,2024/12/08,Sun,Singapore,Double Sausage McMuffin®,5.70,107778.27,Burgers & Muffins,Breakfast Menu
13,2024/12/08,Sun,Singapore,Double Sausage McMuffin® Meal,7.40,139922.66,Burgers & Muffins,Breakfast Menu
14,2024/12/08,Sun,Singapore,Scrambled Egg Burger with Sausage,5.50,103996.57,Burgers & Muffins,Breakfast Menu
15,2024/12/08,Sun,Singapore,Scrambled Egg Burger with Sausage Meal,7.20,136140.97,Burgers & Muffins,Breakfast Menu
16,2024/12/08,Sun,Singapore,Scrambled Egg Burger with Chicken,5.50,103996.57,Burgers & Muffins,Breakfast Menu
17,2024/12/08,Sun,Singapore,Scrambled Egg Burger with Chicken Meal,7.20,136140.97,Burgers & Muffins,Breakfast Menu
18,2024/12/08,Sun,Singapore,Double Filet-O-Fish®,8.15,154104.01,Burgers & Muffins,Breakfast Menu
19,2024/12/08,Sun,Singapore,Double Filet-O-Fish® Meal,10.00,189084.68,Burgers & Muffins,Breakfast Menu
20,2024/12/08,Sun,Singapore,Filet-O-Fish®,6.25,118177.93,Burgers & Muffins,Breakfast Menu
21,2024/12/08,Sun,Singapore,Filet-O-Fish® Meal,7.60,143704.36,Burgers & Muffins,Breakfast Menu
22,2024/12/08,Sun,Singapore,Chicken Muffin with Egg,5.20,98324.03,Burgers & Muffins,Breakfast Menu
23,2024/12/08,Sun,Singapore,Chicken Muffin with Egg Meal,7.00,132359.28,Burgers & Muffins,Breakfast Menu
24,2024/12/08,Sun,Singapore,Sausage McMuffin®,4.30,81306.41,Burgers & Muffins,Breakfast Menu
25,2024/12/08,Sun,Singapore,Sausage McMuffin® Meal,6.00,113450.81,Burgers & Muffins,Breakfast Menu
26,2024/12/08,Sun,Singapore,Chicken Muffin,4.30,81306.41,Burgers & Muffins,Breakfast Menu
27,2024/12/08,Sun,Singapore,Chicken Muffin Meal,6.00,113450.81,Burgers & Muffins,Breakfast Menu
28,2024/12/08,Sun,Singapore,Egg McMuffin®,5.20,98324.03,Burgers & Muffins,Breakfast Menu
29,2024/12/08,Sun,Singapore,Egg McMuffin® Meal,6.30,119123.35,Burgers & Muffins,Breakfast Menu
30,2024/12/08,Sun,Singapore,Belgian Waffles Platter,7.80,147486.05,Platters,Breakfast Menu
31,2024/12/08,Sun,Singapore,Belgian Waffles Platter Meal,9.00,170176.21,Platters,Breakfast Menu
32,2024/12/08,Sun,Singapore,Breakfast Deluxe™,8.15,154104.01,Platters,Breakfast Menu
33,2024/12/08,Sun,Singapore,Breakfast Deluxe™ Meal,9.60,181521.29,Platters,Breakfast Menu
34,2024/12/08,Sun,Singapore,Big Breakfast®,7.10,134250.12,Platters,Breakfast Menu
35,2024/12/08,Sun,Singapore,Big Breakfast® Meal,8.05,152213.17,Platters,Breakfast Menu
36,2024/12/08,Sun,Singapore,Hotcakes™ with Sausage,7.30,138031.82,Platters,Breakfast Menu
37,2024/12/08,Sun,Singapore,Hotcakes™ with Sausage Meal,8.95,169230.79,Platters,Breakfast Menu
38,2024/12/08,Sun,Singapore,Hotcakes™,6.30,119123.35,Platters,Breakfast Menu
39,2024/12/08,Sun,Singapore,Hotcakes™ Meal,8.30,156940.28,Platters,Breakfast Menu
40,2024/12/08,Sun,Singapore,Breakfast Wrap Sausage,6.40,121014.20,Breakfast Wraps,Breakfast Menu
41,2024/12/08,Sun,Singapore,Breakfast Wrap Sausage Meal,8.20,155049.44,Breakfast Wraps,Breakfast Menu
42,2024/12/08,Sun,Singapore,Breakfast Wrap Chicken Ham,6.20,117232.50,Breakfast Wraps,Breakfast Menu
43,2024/12/08,Sun,Singapore,Breakfast Wrap Chicken Ham Meal,8.00,151267.74,Breakfast Wraps,Breakfast Menu
44,2024/12/08,Sun,Singapore,Fam Meal: Breakfast Deluxe Meal + Sausage McMuffin® with Egg Meal + Hotcakes Happy Meal®,22.20,419767.99,Happy Meal® and Family Meals,Breakfast Menu
45,2024/12/08,Sun,Singapore,Scrambled Egg Burger Junior Happy Meal®,5.80,109669.11,Happy Meal® and Family Meals,Breakfast Menu
46,2024/12/08,Sun,Singapore,Breakfast Hotcakes (2pc) Happy Meal®,5.80,109669.11,Happy Meal® and Family Meals,Breakfast Menu
47,2024/12/08,Sun,Singapore,Potato Pops,5.70,107778.27,"Sides, Pies & Desserts",Breakfast Menu
48,2024/12/08,Sun,Singapore,Hashbrown™,3.20,60507.10,"Sides, Pies & Desserts",Breakfast Menu
49,2024/12/08,Sun,Singapore,Apple Pie,1.90,35926.09,"Sides, Pies & Desserts",Breakfast Menu
50,2024/12/08,Sun,Singapore,Apple Slices,2.30,43489.48,"Sides, Pies & Desserts",Breakfast Menu
51,2024/12/08,Sun,Singapore,McCafé Iced Latte (No Sugar),4.70,88869.80,Drinks,Breakfast Menu
52,2024/12/08,Sun,Singapore,McCafé Iced Latte (With Sugar Syrup),4.70,88869.80,Drinks,Breakfast Menu
53,2024/12/08,Sun,Singapore,McCafé Latte,4.50,85088.11,Drinks,Breakfast Menu
54,2024/12/08,Sun,Singapore,McCafé Cappuccino,4.50,85088.11,Drinks,Breakfast Menu
55,2024/12/08,Sun,Singapore,McCafé Premium Roast Coffee Black,3.50,66179.64,Drinks,Breakfast Menu
56,2024/12/08,Sun,Singapore,McCafé Premium Roast Coffee with Milk,3.50,66179.64,Drinks,Breakfast Menu
57,2024/12/08,Sun,Singapore,Iced Milo® Small,4.50,85088.11,Drinks,Breakfast Menu
58,2024/12/08,Sun,Singapore,Iced Milo® Medium,4.70,88869.80,Drinks,Breakfast Menu
59,2024/12/08,Sun,Singapore,Hot Milo®,3.60,68070.48,Drinks,Breakfast Menu
60,2024/12/08,Sun,Singapore,Tea Black,3.50,66179.64,Drinks,Breakfast Menu
61,2024/12/08,Sun,Singapore,Tea with Milk,3.50,66179.64,Drinks,Breakfast Menu
62,2024/12/08,Sun,Singapore,Coke® Zero Sugar Small,3.50,66179.64,Drinks,Breakfast Menu
63,2024/12/08,Sun,Singapore,Coke® Zero Sugar Medium,4.20,79415.57,Drinks,Breakfast Menu
64,2024/12/08,Sun,Singapore,Coke® Zero Sugar Large,4.50,85088.11,Drinks,Breakfast Menu
65,2024/12/08,Sun,Singapore,Coke® Original Taste Less Sugar Small,3.50,66179.64,Drinks,Breakfast Menu
66,2024/12/08,Sun,Singapore,Coke® Original Taste Less Sugar Medium,4.20,79415.57,Drinks,Breakfast Menu
67,2024/12/08,Sun,Singapore,Coke® Original Taste Less Sugar Large,4.50,85088.11,Drinks,Breakfast Menu
68,2024/12/08,Sun,Singapore,Sprite® Small,3.50,66179.64,Drinks,Breakfast Menu
69,2024/12/08,Sun,Singapore,Sprite® Medium,4.20,79415.57,Drinks,Breakfast Menu
70,2024/12/08,Sun,Singapore,Sprite® Large,4.50,85088.11,Drinks,Breakfast Menu
71,2024/12/08,Sun,Singapore,Iced Lemon Tea Small,4.30,81306.41,Drinks,Breakfast Menu
72,2024/12/08,Sun,Singapore,Iced Lemon Tea Medium,4.55,86033.53,Drinks,Breakfast Menu
73,2024/12/08,Sun,Singapore,Iced Lemon Tea Large,4.75,89815.22,Drinks,Breakfast Menu
74,2024/12/08,Sun,Singapore,Jasmine Green Tea Small,4.30,81306.41,Drinks,Breakfast Menu
75,2024/12/08,Sun,Singapore,Jasmine Green Tea Medium,4.55,86033.53,Drinks,Breakfast Menu
76,2024/12/08,Sun,Singapore,Caramel Custard Frappé (S),5.25,99269.46,Drinks,Breakfast Menu
77,2024/12/08,Sun,Singapore,Caramel Custard Frappé (M),5.95,112505.38,Drinks,Breakfast Menu
78,2024/12/08,Sun,Singapore,Mocha Frappé  Small,4.75,89815.22,Drinks,Breakfast Menu
79,2024/12/08,Sun,Singapore,Mocha Frappé Medium,5.30,100214.88,Drinks,Breakfast Menu
80,2024/12/08,Sun,Singapore,Double Chocolate Frappé Small,4.75,89815.22,Drinks,Breakfast Menu
81,2024/12/08,Sun,Singapore,Double Chocolate Frappé Medium,5.30,100214.88,Drinks,Breakfast Menu
82,2024/12/08,Sun,Singapore,Caramel Frappé Small,4.75,89815.22,Drinks,Breakfast Menu
83,2024/12/08,Sun,Singapore,Caramel Frappé Medium,5.30,100214.88,Drinks,Breakfast Menu
84,2024/12/08,Sun,Singapore,Mocha Frappé  With Oreo® Small,5.25,99269.46,Drinks,Breakfast Menu
85,2024/12/08,Sun,Singapore,Mocha Frappé  With Oreo® Medium,5.80,109669.11,Drinks,Breakfast Menu
86,2024/12/08,Sun,Singapore,Caramel Frappé with Oreo Small,5.25,99269.46,Drinks,Breakfast Menu
87,2024/12/08,Sun,Singapore,Caramel Frappé With Oreo Medium,5.80,109669.11,Drinks,Breakfast Menu
88,2024/12/08,Sun,Singapore,Pure Orange Juice Small,4.60,86978.95,Drinks,Breakfast Menu
89,2024/12/08,Sun,Singapore,Oatside Chocolate Flavoured Oatmilk,3.20,60507.10,Drinks,Breakfast Menu
90,2024/12/08,Sun,Singapore,Oatside Original Flavoured Oatmilk,3.20,60507.10,Drinks,Breakfast Menu
91,2024/12/08,Sun,Singapore,Kiyo Grape Juice,2.50,47271.17,Drinks,Breakfast Menu
92,2024/12/08,Sun,Singapore,"Low-fat, High-Calcium Milk",3.35,63343.37,Drinks,Breakfast Menu
93,2024/12/08,Sun,Singapore,Drinking Water,3.00,56725.40,Drinks,Breakfast Menu
